#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LRJ,2021-07-11 00:15,-96.1923,42.7754,64.40,62.60,93.88,40.00,9.00,0.00,29.97,M,3.00,16.00,BKN,OVC,M,M,1000.00,1700.00,M,M,-RA,M,M,M,M,M,M,M,KLRJ 110015Z AUTO 04009G16KT 3SM -RA BKN010 OVC017 18/17 A2997 RMK AO2
LRJ,2021-07-11 00:35,-96.1923,42.7754,62.60,60.80,93.83,30.00,12.00,0.00,29.98,M,3.00,18.00,BKN,BKN,BKN,M,900.00,1200.00,2100.00,M,-RA,M,M,M,M,M,M,M,KLRJ 110035Z AUTO 03012G18KT 3SM -RA BKN009 BKN012 BKN021 17/16 A2998 RMK AO2
LRJ,2021-07-11 00:55,-96.1923,42.7754,62.60,60.80,93.83,30.00,8.00,0.00,29.99,M,2.00,14.00,SCT,BKN,BKN,M,800.00,1300.00,2200.00,M,RA,M,M,M,M,M,M,M,KLRJ 110055Z AUTO 03008G14KT 2SM RA SCT008 BKN013 BKN022 17/16 A2999 RMK AO2
LRJ,2021-07-11 01:15,-96.1923,42.7754,62.60,60.80,93.83,30.00,8.00,0.00,29.99,M,6.00,M,SCT,SCT,BKN,M,1000.00,2400.00,3600.00,M,-DZ,M,M,M,M,M,M,M,KLRJ 110115Z AUTO 03008KT 6SM -DZ SCT010 SCT024 BKN036 17/16 A2999 RMK AO2
LRJ,2021-07-11 01:35,-96.1923,42.7754,62.60,60.80,93.83,30.00,9.00,0.00,29.99,M,10.00,M,BKN,BKN,OVC,M,2800.00,3600.00,4600.00,M,M,M,M,M,M,M,M,M,KLRJ 110135Z AUTO 03009KT 10SM BKN028 BKN036 OVC046 17/16 A2999 RMK AO2
LRJ,2021-07-11 01:55,-96.1923,42.7754,62.60,60.80,93.83,20.00,8.00,0.00,29.99,M,10.00,M,BKN,OVC,M,M,3000.00,3500.00,M,M,M,M,M,M,M,M,M,M,KLRJ 110155Z AUTO 02008KT 10SM BKN030 OVC035 17/16 A2999 RMK AO2
LRJ,2021-07-11 02:15,-96.1923,42.7754,62.60,60.80,93.83,20.00,7.00,0.00,30.00,M,10.00,M,SCT,BKN,OVC,M,3500.00,7000.00,9000.00,M,M,M,M,M,M,M,M,M,KLRJ 110215Z AUTO 02007KT 10SM SCT035 BKN070 OVC090 17/16 A3000 RMK AO2
LRJ,2021-07-11 02:35,-96.1923,42.7754,62.60,60.80,93.83,30.00,9.00,0.00,30.00,M,10.00,M,SCT,OVC,M,M,6500.00,7500.00,M,M,M,M,M,M,M,M,M,M,KLRJ 110235Z AUTO 03009KT 10SM SCT065 OVC075 17/16 A3000 RMK AO2
LRJ,2021-07-11 02:55,-96.1923,42.7754,62.60,60.80,93.83,20.00,6.00,0.00,30.01,M,10.00,M,FEW,BKN,OVC,M,6500.00,8000.00,9000.00,M,M,M,M,M,M,M,M,M,KLRJ 110255Z AUTO 02006KT 10SM FEW065 BKN080 OVC090 17/16 A3001 RMK AO2
LRJ,2021-07-11 03:15,-96.1923,42.7754,62.60,60.80,93.83,10.00,5.00,0.00,30.01,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KLRJ 110315Z AUTO 01005KT 10SM OVC090 17/16 A3001 RMK AO2
