#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LXV,2021-07-11 00:00,-106.3161,39.2281,M,M,M,360.00,13.00,M,30.53,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110000Z AUTO 36013G22KT 10SM CLR 23/M05 A3053 RMK T02301050 MADISHF
LXV,2021-07-11 00:05,-106.3161,39.2281,M,M,M,10.00,14.00,M,30.53,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110005Z AUTO 01014KT 10SM CLR 23/M07 A3053 RMK T02301070 MADISHF
LXV,2021-07-11 00:10,-106.3161,39.2281,M,M,M,350.00,10.00,M,30.53,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110010Z AUTO 35010G15KT 10SM CLR 23/M06 A3053 RMK T02301060 MADISHF
LXV,2021-07-11 00:15,-106.3161,39.2281,M,M,M,360.00,11.00,M,30.53,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110015Z AUTO 36011G18KT 10SM CLR 23/M06 A3053 RMK T02301060 MADISHF
LXV,2021-07-11 00:20,-106.3161,39.2281,M,M,M,360.00,11.00,M,30.53,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110020Z AUTO 36011KT 10SM CLR 23/M07 A3053 RMK T02301070 MADISHF
LXV,2021-07-11 00:25,-106.3161,39.2281,M,M,M,360.00,15.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110025Z AUTO 36015KT 10SM CLR 23/M07 RMK T02301070 MADISHF
LXV,2021-07-11 00:30,-106.3161,39.2281,M,M,M,20.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110030Z AUTO 02010KT 10SM CLR 22/M06 RMK T02201060 MADISHF
LXV,2021-07-11 00:35,-106.3161,39.2281,M,M,M,360.00,11.00,M,M,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110035Z AUTO 36011G17KT 10SM CLR 22/M06 RMK T02201060 MADISHF
LXV,2021-07-11 00:40,-106.3161,39.2281,M,M,M,350.00,9.00,M,30.53,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110040Z AUTO 35009G14KT 10SM CLR 22/M07 A3053 RMK T02201070 MADISHF
LXV,2021-07-11 00:45,-106.3161,39.2281,M,M,M,10.00,11.00,M,30.53,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLXV 110045Z AUTO 01011G18KT 10SM CLR 23/M07 A3053 RMK T02301070 MADISHF
