#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
MNH,2021-07-11 00:15,-104.6422,39.2231,71.60,42.80,35.37,360.00,9.00,0.00,30.39,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110015Z AUTO 36009KT 10SM SCT070 22/06 A3039 RMK AO2
MNH,2021-07-11 00:35,-104.6422,39.2231,71.60,44.60,37.89,360.00,6.00,0.00,30.38,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMNH 110035Z AUTO 36006KT 10SM CLR 22/07 A3038 RMK AO2
MNH,2021-07-11 00:55,-104.6422,39.2231,71.60,42.80,35.37,10.00,7.00,0.00,30.38,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110055Z AUTO 01007KT 10SM BKN075 22/06 A3038 RMK AO2
MNH,2021-07-11 01:15,-104.6422,39.2231,69.80,42.80,37.61,20.00,7.00,0.00,30.39,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110115Z AUTO 02007KT 10SM OVC075 21/06 A3039 RMK AO2
MNH,2021-07-11 01:35,-104.6422,39.2231,68.00,42.80,40.00,50.00,5.00,0.00,30.39,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110135Z AUTO 05005KT 10SM OVC075 20/06 A3039 RMK AO2
MNH,2021-07-11 01:55,-104.6422,39.2231,68.00,42.80,40.00,60.00,6.00,0.00,30.40,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110155Z AUTO 06006KT 10SM OVC075 20/06 A3040 RMK AO2
MNH,2021-07-11 02:15,-104.6422,39.2231,66.20,42.80,42.57,70.00,4.00,0.00,30.40,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110215Z AUTO 07004KT 10SM BKN075 19/06 A3040 RMK AO2
MNH,2021-07-11 02:35,-104.6422,39.2231,64.40,41.00,42.28,70.00,5.00,0.00,30.40,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110235Z AUTO 07005KT 10SM OVC075 18/05 A3040 RMK AO2
MNH,2021-07-11 02:55,-104.6422,39.2231,62.60,42.80,48.28,90.00,5.00,0.00,30.40,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KMNH 110255Z AUTO 09005KT 10SM OVC075 17/06 A3040 RMK AO2
MNH,2021-07-11 03:15,-104.6422,39.2231,62.60,42.80,48.28,90.00,4.00,0.00,30.41,M,10.00,M,BKN,BKN,M,M,7500.00,9000.00,M,M,M,M,M,M,M,M,M,M,KMNH 110315Z AUTO 09004KT 10SM BKN075 BKN090 17/06 A3041 RMK AO2
