#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
MPZ,2021-07-11 00:15,-91.5122,40.9453,69.80,68.00,94.01,10.00,7.00,0.00,29.88,M,10.00,M,SCT,OVC,M,M,1500.00,2400.00,M,M,M,M,M,M,M,M,M,M,KMPZ 110015Z AUTO 01007KT 10SM SCT015 OVC024 21/20 A2988 RMK AO2
MPZ,2021-07-11 00:35,-91.5122,40.9453,69.80,68.00,94.01,20.00,8.00,0.00,29.87,M,10.00,M,SCT,SCT,OVC,M,1600.00,2000.00,2400.00,M,M,M,M,M,M,M,M,M,KMPZ 110035Z AUTO 02008KT 10SM SCT016 SCT020 OVC024 21/20 A2987 RMK AO2
MPZ,2021-07-11 00:55,-91.5122,40.9453,69.80,68.00,94.01,30.00,8.00,0.00,29.88,M,10.00,M,SCT,SCT,OVC,M,1600.00,2000.00,2600.00,M,M,M,M,M,M,M,M,M,KMPZ 110055Z AUTO 03008KT 10SM SCT016 SCT020 OVC026 21/20 A2988 RMK AO2
MPZ,2021-07-11 01:15,-91.5122,40.9453,69.80,68.00,94.01,10.00,7.00,0.00,29.88,M,10.00,M,BKN,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110115Z AUTO 01007KT 10SM BKN026 21/20 A2988 RMK AO2
MPZ,2021-07-11 01:35,-91.5122,40.9453,69.80,68.00,94.01,30.00,9.00,0.00,29.88,M,10.00,M,SCT,BKN,OVC,M,1200.00,1800.00,2800.00,M,M,M,M,M,M,M,M,M,KMPZ 110135Z AUTO 03009KT 10SM SCT012 BKN018 OVC028 21/20 A2988 RMK AO2
MPZ,2021-07-11 01:55,-91.5122,40.9453,69.80,66.20,88.34,20.00,7.00,0.00,29.88,M,10.00,M,SCT,SCT,BKN,M,1200.00,1700.00,2900.00,M,M,M,M,M,M,M,M,M,KMPZ 110155Z AUTO 02007KT 10SM SCT012 SCT017 BKN029 21/19 A2988 RMK AO2
MPZ,2021-07-11 02:15,-91.5122,40.9453,69.80,68.00,94.01,10.00,7.00,0.00,29.89,M,10.00,M,BKN,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110215Z AUTO 01007KT 10SM BKN031 21/20 A2989 RMK AO2
MPZ,2021-07-11 02:35,-91.5122,40.9453,69.80,66.20,88.34,20.00,6.00,0.00,29.89,M,10.00,M,BKN,OVC,M,M,3500.00,4200.00,M,M,M,M,M,M,M,M,M,M,KMPZ 110235Z AUTO 02006KT 10SM BKN035 OVC042 21/19 A2989 RMK AO2
MPZ,2021-07-11 02:55,-91.5122,40.9453,68.00,66.20,93.97,10.00,6.00,0.00,29.89,M,10.00,M,SCT,BKN,OVC,M,2000.00,3700.00,4200.00,M,M,M,M,M,M,M,M,M,KMPZ 110255Z AUTO 01006KT 10SM SCT020 BKN037 OVC042 20/19 A2989 RMK AO2
MPZ,2021-07-11 03:15,-91.5122,40.9453,68.00,66.20,93.97,20.00,8.00,0.00,29.89,M,10.00,M,SCT,BKN,BKN,M,2000.00,3700.00,4200.00,M,M,M,M,M,M,M,M,M,KMPZ 110315Z AUTO 02008KT 10SM SCT020 BKN037 BKN042 20/19 A2989 RMK AO2
MPZ,2021-07-11 03:35,-91.5122,40.9453,68.00,66.20,93.97,20.00,7.00,0.00,29.87,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110335Z AUTO 02007KT 10SM OVC039 20/19 A2987 RMK AO2
MPZ,2021-07-11 03:55,-91.5122,40.9453,68.00,66.20,93.97,20.00,6.00,0.00,29.88,M,10.00,M,SCT,OVC,M,M,2000.00,4100.00,M,M,M,M,M,M,M,M,M,M,KMPZ 110355Z AUTO 02006KT 10SM SCT020 OVC041 20/19 A2988 RMK AO2
MPZ,2021-07-11 04:15,-91.5122,40.9453,68.00,66.20,93.97,360.00,6.00,0.00,29.88,M,10.00,M,BKN,BKN,M,M,1800.00,4300.00,M,M,M,M,M,M,M,M,M,M,KMPZ 110415Z AUTO 36006KT 10SM BKN018 BKN043 20/19 A2988 RMK AO2
MPZ,2021-07-11 04:35,-91.5122,40.9453,68.00,68.00,100.00,10.00,6.00,0.00,29.88,M,10.00,M,BKN,BKN,BKN,M,1100.00,1600.00,2200.00,M,M,M,M,M,M,M,M,M,KMPZ 110435Z AUTO 01006KT 10SM BKN011 BKN016 BKN022 20/20 A2988 RMK AO2
MPZ,2021-07-11 04:55,-91.5122,40.9453,68.00,68.00,100.00,40.00,9.00,0.00,29.89,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA,M,M,M,M,M,M,M,KMPZ 110455Z AUTO 04009KT 5SM -RA OVC011 20/20 A2989 RMK AO2
MPZ,2021-07-11 05:15,-91.5122,40.9453,68.00,66.20,93.97,30.00,8.00,0.00,29.88,M,5.00,M,SCT,BKN,BKN,M,800.00,1300.00,2500.00,M,BR,M,M,M,M,M,M,M,KMPZ 110515Z AUTO 03008KT 5SM BR SCT008 BKN013 BKN025 20/19 A2988 RMK AO2
MPZ,2021-07-11 05:35,-91.5122,40.9453,68.00,66.20,93.97,30.00,10.00,0.00,29.86,M,4.00,M,SCT,SCT,BKN,M,600.00,1000.00,1600.00,M,BR,M,M,M,M,M,M,M,KMPZ 110535Z AUTO 03010KT 4SM BR SCT006 SCT010 BKN016 20/19 A2986 RMK AO2
MPZ,2021-07-11 05:55,-91.5122,40.9453,68.00,66.20,93.97,30.00,12.00,0.00,29.85,M,5.00,M,SCT,OVC,M,M,600.00,1400.00,M,M,BR,M,M,M,M,M,M,M,KMPZ 110555Z AUTO 03012KT 5SM BR SCT006 OVC014 20/19 A2985 RMK AO2
MPZ,2021-07-11 06:15,-91.5122,40.9453,68.00,66.20,93.97,20.00,12.00,0.00,29.85,M,7.00,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110615Z AUTO 02012KT 7SM OVC010 20/19 A2985 RMK AO2
MPZ,2021-07-11 06:35,-91.5122,40.9453,68.00,66.20,93.97,30.00,9.00,0.00,29.85,M,7.00,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110635Z AUTO 03009KT 7SM OVC010 20/19 A2985 RMK AO2
MPZ,2021-07-11 06:55,-91.5122,40.9453,66.20,64.40,93.92,30.00,12.00,0.00,29.86,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110655Z AUTO 03012KT 10SM OVC010 19/18 A2986 RMK AO2
MPZ,2021-07-11 07:15,-91.5122,40.9453,66.20,64.40,93.92,30.00,9.00,0.00,29.86,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110715Z AUTO 03009KT 10SM OVC010 19/18 A2986 RMK AO2
MPZ,2021-07-11 07:35,-91.5122,40.9453,66.20,64.40,93.92,30.00,12.00,0.00,29.85,M,7.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110735Z AUTO 03012KT 7SM OVC008 19/18 A2985 RMK AO2
MPZ,2021-07-11 07:55,-91.5122,40.9453,66.20,64.40,93.92,20.00,10.00,0.00,29.85,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KMPZ 110755Z AUTO 02010KT 10SM OVC008 19/18 A2985 RMK AO2
MPZ,2021-07-11 08:15,-91.5122,40.9453,66.20,64.40,93.92,30.00,10.00,0.00,29.85,M,7.00,M,OVC,M,M,M,800.00,M,M,M,RA,M,M,M,M,M,M,M,KMPZ 110815Z AUTO 03010KT 7SM RA OVC008 19/18 A2985 RMK AO2
