#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
MTJ,2021-07-11 00:00,-107.8975,38.5050,M,M,M,270.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110000Z AUTO 27005KT 10SM CLR 35/M07 RMK T03501070 MADISHF
MTJ,2021-07-11 00:05,-107.8975,38.5050,M,M,M,290.00,4.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110005Z AUTO 29004KT 10SM CLR 35/M07 RMK T03501070 MADISHF
MTJ,2021-07-11 00:10,-107.8975,38.5050,M,M,M,250.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110010Z AUTO 25005KT 10SM CLR 34/M07 RMK T03401070 MADISHF
MTJ,2021-07-11 00:15,-107.8975,38.5050,M,M,M,290.00,4.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110015Z AUTO 29004KT 10SM CLR 35/M06 RMK T03501060 MADISHF
MTJ,2021-07-11 00:20,-107.8975,38.5050,M,M,M,260.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110020Z AUTO 26005KT 10SM CLR 35/M05 RMK T03501050 MADISHF
MTJ,2021-07-11 00:25,-107.8975,38.5050,M,M,M,290.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110025Z AUTO 29008KT 10SM CLR 34/M04 RMK T03401040 MADISHF
MTJ,2021-07-11 00:30,-107.8975,38.5050,M,M,M,290.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110030Z AUTO 29010KT 10SM CLR 34/M03 RMK T03401030 MADISHF
MTJ,2021-07-11 00:35,-107.8975,38.5050,M,M,M,300.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110035Z AUTO 30010KT 10SM CLR 34/M02 RMK T03401020 MADISHF
MTJ,2021-07-11 00:40,-107.8975,38.5050,M,M,M,300.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110040Z AUTO 30010KT 10SM CLR 34/M01 RMK T03401010 MADISHF
MTJ,2021-07-11 00:45,-107.8975,38.5050,M,M,M,290.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KMTJ 110045Z AUTO 29010KT 10SM CLR 34/M01 RMK T03401010 MADISHF
