#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
MUT,2021-07-11 00:15,-91.1406,41.3670,69.80,68.00,94.01,40.00,9.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,2100.00,2700.00,3300.00,M,M,M,M,M,M,M,M,M,KMUT 110015Z AUTO 04009KT 10SM BKN021 BKN027 OVC033 21/20 A2988 RMK AO2
MUT,2021-07-11 00:35,-91.1406,41.3670,69.80,68.00,94.01,50.00,9.00,0.00,29.88,M,10.00,M,SCT,BKN,OVC,M,2100.00,2700.00,3400.00,M,M,M,M,M,M,M,M,M,KMUT 110035Z AUTO 05009KT 10SM SCT021 BKN027 OVC034 21/20 A2988 RMK AO2
MUT,2021-07-11 00:55,-91.1406,41.3670,69.80,66.20,88.34,40.00,9.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,2700.00,3200.00,M,M,M,M,M,M,M,M,M,M,KMUT 110055Z AUTO 04009KT 10SM BKN027 OVC032 21/19 A2988 RMK AO2
MUT,2021-07-11 01:15,-91.1406,41.3670,69.80,68.00,94.01,30.00,6.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,1900.00,2700.00,3200.00,M,M,M,M,M,M,M,M,M,KMUT 110115Z AUTO 03006KT 10SM BKN019 BKN027 OVC032 21/20 A2988 RMK AO2
MUT,2021-07-11 01:35,-91.1406,41.3670,69.80,68.00,94.01,30.00,6.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,1900.00,2300.00,2900.00,M,M,M,M,M,M,M,M,M,KMUT 110135Z AUTO 03006KT 10SM BKN019 BKN023 OVC029 21/20 A2988 RMK AO2
MUT,2021-07-11 01:55,-91.1406,41.3670,69.80,68.00,94.01,40.00,6.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,1700.00,2200.00,M,M,M,M,M,M,M,M,M,M,KMUT 110155Z AUTO 04006KT 10SM BKN017 OVC022 21/20 A2988 RMK AO2
MUT,2021-07-11 02:15,-91.1406,41.3670,69.80,68.00,94.01,30.00,7.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,2000.00,3100.00,M,M,M,M,M,M,M,M,M,M,KMUT 110215Z AUTO 03007KT 10SM BKN020 OVC031 21/20 A2988 RMK AO2
MUT,2021-07-11 02:35,-91.1406,41.3670,69.80,68.00,94.01,10.00,5.00,0.00,29.90,M,10.00,M,BKN,BKN,OVC,M,1600.00,2100.00,3300.00,M,M,M,M,M,M,M,M,M,KMUT 110235Z AUTO 01005KT 10SM BKN016 BKN021 OVC033 21/20 A2990 RMK AO2
MUT,2021-07-11 02:55,-91.1406,41.3670,69.80,68.00,94.01,30.00,9.00,0.00,29.90,M,10.00,M,FEW,SCT,OVC,M,1600.00,2000.00,3300.00,M,M,M,M,M,M,M,M,M,KMUT 110255Z AUTO 03009KT 10SM FEW016 SCT020 OVC033 21/20 A2990 RMK AO2
MUT,2021-07-11 03:15,-91.1406,41.3670,69.80,66.20,88.34,40.00,11.00,0.00,29.90,M,10.00,M,FEW,OVC,M,M,1900.00,3600.00,M,M,M,M,M,M,M,M,M,M,KMUT 110315Z AUTO 04011KT 10SM FEW019 OVC036 21/19 A2990 RMK AO2
