#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
MXO,2021-07-11 00:15,-91.1605,42.2204,71.60,68.00,88.43,M,5.00,0.00,29.92,M,10.00,M,FEW,BKN,OVC,M,2600.00,3400.00,4400.00,M,M,M,M,M,M,M,M,M,KMXO 110015Z AUTO VRB05KT 10SM FEW026 BKN034 OVC044 22/20 A2992 RMK AO2
MXO,2021-07-11 00:35,-91.1605,42.2204,69.80,68.00,94.01,70.00,7.00,0.00,29.92,M,10.00,M,FEW,OVC,M,M,3400.00,4700.00,M,M,M,M,M,M,M,M,M,M,KMXO 110035Z AUTO 07007KT 10SM FEW034 OVC047 21/20 A2992 RMK AO2
MXO,2021-07-11 00:55,-91.1605,42.2204,69.80,66.20,88.34,60.00,6.00,0.00,29.92,M,10.00,M,OVC,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,M,KMXO 110055Z AUTO 06006KT 10SM OVC047 21/19 A2992 RMK AO2
MXO,2021-07-11 01:15,-91.1605,42.2204,69.80,66.20,88.34,60.00,7.00,0.00,29.91,M,10.00,13.00,BKN,BKN,M,M,4700.00,5000.00,M,M,M,M,M,M,M,M,M,M,KMXO 110115Z AUTO 06007G13KT 10SM BKN047 BKN050 21/19 A2991 RMK AO2
MXO,2021-07-11 01:35,-91.1605,42.2204,69.80,66.20,88.34,60.00,8.00,0.00,29.91,M,10.00,M,BKN,M,M,M,4900.00,M,M,M,M,M,M,M,M,M,M,M,KMXO 110135Z AUTO 06008KT 10SM BKN049 21/19 A2991 RMK AO2
MXO,2021-07-11 01:55,-91.1605,42.2204,69.80,66.20,88.34,60.00,5.00,0.00,29.90,M,10.00,M,OVC,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,M,KMXO 110155Z AUTO 06005KT 10SM OVC047 21/19 A2990 RMK AO2
MXO,2021-07-11 02:15,-91.1605,42.2204,68.00,66.20,93.97,60.00,7.00,0.00,29.91,M,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,M,KMXO 110215Z AUTO 06007KT 10SM OVC044 20/19 A2991 RMK AO2
MXO,2021-07-11 02:35,-91.1605,42.2204,68.00,66.20,93.97,60.00,6.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,4500.00,5000.00,M,M,M,M,M,M,M,M,M,M,KMXO 110235Z AUTO 06006KT 10SM BKN045 OVC050 20/19 A2993 RMK AO2
MXO,2021-07-11 02:55,-91.1605,42.2204,68.00,66.20,93.97,70.00,6.00,0.00,29.94,M,10.00,M,SCT,BKN,M,M,4500.00,5500.00,M,M,M,M,M,M,M,M,M,M,KMXO 110255Z AUTO 07006KT 10SM SCT045 BKN055 20/19 A2994 RMK AO2
MXO,2021-07-11 03:15,-91.1605,42.2204,66.20,66.20,100.00,60.00,6.00,0.00,29.94,M,10.00,14.00,FEW,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,M,KMXO 110315Z AUTO 06006G14KT 10SM FEW055 19/19 A2994 RMK AO2
