#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
OOA,2021-07-11 00:15,-92.4919,41.2273,71.60,65.70,81.66,60.00,6.00,0.00,29.90,M,7.00,M,SCT,M,M,M,11000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110015Z AUTO 06006KT 7SM +RA SCT110 22/19 A2990 RMK AO2 T02200187
OOA,2021-07-11 00:35,-92.4919,41.2273,70.70,65.70,84.20,40.00,4.00,0.00,29.90,M,7.00,M,BKN,M,M,M,11000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110035Z AUTO 04004KT 7SM +RA BKN110 22/19 A2990 RMK AO2 T02150187
OOA,2021-07-11 00:55,-92.4919,41.2273,70.20,65.50,85.05,40.00,4.00,0.00,29.90,M,5.00,M,SCT,SCT,M,M,2200.00,11000.00,M,M,+RA,M,M,M,M,M,M,M,KOOA 110055Z AUTO 04004KT 5SM +RA SCT022 SCT110 21/19 A2990 RMK AO2 T02120186
OOA,2021-07-11 01:15,-92.4919,41.2273,70.00,65.70,86.23,50.00,6.00,0.00,29.90,M,7.00,M,BKN,M,M,M,2200.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110115Z AUTO 05006KT 7SM +RA BKN022 21/19 A2990 RMK AO2 T02110187
OOA,2021-07-11 01:35,-92.4919,41.2273,69.40,65.80,88.32,50.00,6.00,0.00,29.90,M,7.00,M,SCT,BKN,M,M,2200.00,11000.00,M,M,+RA,M,M,M,M,M,M,M,KOOA 110135Z AUTO 05006KT 7SM +RA SCT022 BKN110 21/19 A2990 RMK AO2 T02080188
OOA,2021-07-11 01:55,-92.4919,41.2273,69.30,65.70,88.32,40.00,5.00,0.00,29.90,M,7.00,M,SCT,BKN,M,M,2600.00,11000.00,M,M,+RA,M,M,M,M,M,M,M,KOOA 110155Z AUTO 04005KT 7SM +RA SCT026 BKN110 21/19 A2990 RMK AO2 T02070187
OOA,2021-07-11 02:15,-92.4919,41.2273,69.60,65.70,87.42,60.00,4.00,0.00,29.90,M,7.00,M,BKN,OVC,M,M,2600.00,11000.00,M,M,+RA,M,M,M,M,M,M,M,KOOA 110215Z AUTO 06004KT 7SM +RA BKN026 OVC110 21/19 A2990 RMK AO2 T02090187
OOA,2021-07-11 02:35,-92.4919,41.2273,69.80,65.30,85.62,70.00,4.00,0.00,29.90,M,7.00,M,OVC,M,M,M,2800.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110235Z AUTO 07004KT 7SM +RA OVC028 21/19 A2990 RMK AO2 T02100185
OOA,2021-07-11 02:55,-92.4919,41.2273,69.40,65.30,86.80,70.00,6.00,0.00,29.90,M,7.00,M,OVC,M,M,M,3000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110255Z AUTO 07006KT 7SM +RA OVC030 21/19 A2990 RMK AO2 T02080185
OOA,2021-07-11 03:15,-92.4919,41.2273,69.30,65.30,87.10,70.00,7.00,0.00,29.91,M,5.00,M,BKN,M,M,M,3000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110315Z AUTO 07007KT 5SM +RA BKN030 21/19 A2991 RMK AO2 T02070185
OOA,2021-07-11 03:35,-92.4919,41.2273,68.50,64.90,88.28,70.00,6.00,0.00,29.90,M,7.00,M,SCT,M,M,M,3000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110335Z AUTO 07006KT 7SM +RA SCT030 20/18 A2990 RMK AO2 T02030183
OOA,2021-07-11 03:55,-92.4919,41.2273,68.50,65.10,88.90,50.00,7.00,0.00,29.90,M,7.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110355Z AUTO 05007KT 7SM +RA CLR 20/18 A2990 RMK AO2 T02030184
OOA,2021-07-11 04:15,-92.4919,41.2273,68.50,64.90,88.28,50.00,7.00,0.00,29.90,M,7.00,M,SCT,M,M,M,12000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110415Z AUTO 05007KT 7SM +RA SCT120 20/18 A2990 RMK AO2 T02030183
OOA,2021-07-11 04:35,-92.4919,41.2273,68.40,64.90,88.59,40.00,5.00,0.00,29.90,M,7.00,M,BKN,M,M,M,12000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110435Z AUTO 04005KT 7SM +RA BKN120 20/18 A2990 RMK AO2 T02020183
OOA,2021-07-11 04:55,-92.4919,41.2273,68.20,64.90,89.20,50.00,4.00,0.00,29.91,M,7.00,M,SCT,M,M,M,12000.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110455Z AUTO 05004KT 7SM +RA SCT120 20/18 A2991 RMK AO2 T02010183
OOA,2021-07-11 05:15,-92.4919,41.2273,68.00,64.90,89.81,40.00,5.00,0.00,29.90,M,5.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110515Z AUTO 04005KT 5SM +RA CLR 20/18 A2990 RMK AO2 T02000183
OOA,2021-07-11 05:35,-92.4919,41.2273,67.50,64.90,91.38,40.00,6.00,0.00,29.89,M,5.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110535Z AUTO 04006KT 5SM +RA CLR 20/18 A2989 RMK AO2 T01970183
OOA,2021-07-11 05:55,-92.4919,41.2273,67.50,64.90,91.38,50.00,7.00,0.00,29.89,M,5.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110555Z AUTO 05007KT 5SM +RA CLR 20/18 A2989 RMK AO2 T01970183 10225 20197 402600196
OOA,2021-07-11 06:15,-92.4919,41.2273,67.60,64.80,90.74,40.00,6.00,0.00,29.89,M,7.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110615Z AUTO 04006KT 7SM +RA CLR 20/18 A2989 RMK AO2 T01980182
OOA,2021-07-11 06:35,-92.4919,41.2273,67.50,64.60,90.42,30.00,7.00,0.00,29.89,M,5.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110635Z AUTO 03007KT 5SM +RA CLR 20/18 A2989 RMK AO2 T01970181
OOA,2021-07-11 06:55,-92.4919,41.2273,67.10,64.00,89.78,30.00,6.00,0.00,29.89,M,7.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110655Z AUTO 03006KT 7SM +RA CLR 20/18 A2989 RMK AO2 T01950178
OOA,2021-07-11 07:15,-92.4919,41.2273,66.70,63.50,89.45,30.00,5.00,0.00,29.89,M,7.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110715Z AUTO 03005KT 7SM +RA CLR 19/18 A2989 RMK AO2 T01930175
OOA,2021-07-11 07:35,-92.4919,41.2273,66.40,63.50,90.38,30.00,5.00,0.00,29.89,M,7.00,M,CLR,M,M,M,M,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110735Z AUTO 03005KT 7SM +RA CLR 19/18 A2989 RMK AO2 T01910175
OOA,2021-07-11 07:55,-92.4919,41.2273,66.60,63.50,89.76,30.00,4.00,0.00,29.90,M,5.00,M,BKN,M,M,M,2300.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110755Z AUTO 03004KT 5SM +RA BKN023 19/18 A2990 RMK AO2 T01920175
OOA,2021-07-11 08:15,-92.4919,41.2273,66.70,63.10,88.20,30.00,5.00,0.00,29.89,M,5.00,M,OVC,M,M,M,2100.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110815Z AUTO 03005KT 5SM +RA OVC021 19/17 A2989 RMK AO2 T01930173
OOA,2021-07-11 08:35,-92.4919,41.2273,66.70,63.00,87.89,30.00,6.00,0.00,29.89,M,7.00,M,OVC,M,M,M,2100.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110835Z AUTO 03006KT 7SM +RA OVC021 19/17 A2989 RMK AO2 T01930172
OOA,2021-07-11 08:55,-92.4919,41.2273,66.40,62.60,87.57,30.00,5.00,0.00,29.89,M,7.00,M,BKN,BKN,M,M,1900.00,4500.00,M,M,+RA,M,M,M,M,M,M,M,KOOA 110855Z AUTO 03005KT 7SM +RA BKN019 BKN045 19/17 A2989 RMK AO2 T01910170
OOA,2021-07-11 09:15,-92.4919,41.2273,66.40,62.60,87.57,30.00,6.00,0.00,29.88,M,7.00,M,OVC,M,M,M,1700.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110915Z AUTO 03006KT 7SM +RA OVC017 19/17 A2988 RMK AO2 T01910170
OOA,2021-07-11 09:35,-92.4919,41.2273,66.20,62.10,86.63,20.00,6.00,0.00,29.88,M,7.00,M,OVC,M,M,M,1500.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110935Z AUTO 02006KT 7SM +RA OVC015 19/17 A2988 RMK AO2 T01900167
OOA,2021-07-11 09:55,-92.4919,41.2273,66.40,61.90,85.43,30.00,5.00,0.00,29.88,M,7.00,M,OVC,M,M,M,1500.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 110955Z AUTO 03005KT 7SM +RA OVC015 19/17 A2988 RMK AO2 T01910166
OOA,2021-07-11 10:15,-92.4919,41.2273,66.60,61.70,84.24,20.00,5.00,0.00,29.88,M,7.00,M,OVC,M,M,M,1700.00,M,M,M,+RA,M,M,M,M,M,M,M,KOOA 111015Z AUTO 02005KT 7SM +RA OVC017 19/17 A2988 RMK AO2 T01920165
