#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
PRO,2021-07-11 00:15,-94.1637,41.8278,66.40,66.40,100.00,70.00,14.00,0.00,29.83,M,4.00,22.00,BKN,OVC,M,M,400.00,1500.00,M,M,-RA,M,M,M,M,M,M,M,KPRO 110015Z AUTO 07014G22KT 4SM -RA BKN004 OVC015 19/19 A2983 RMK AO2 T01910191
PRO,2021-07-11 00:35,-94.1637,41.8278,66.20,66.20,100.00,70.00,14.00,0.00,29.85,M,4.00,22.00,OVC,M,M,M,600.00,M,M,M,-RA,M,M,M,M,M,M,M,KPRO 110035Z AUTO 07014G22KT 4SM -RA OVC006 19/19 A2985 RMK AO2 T01900190
PRO,2021-07-11 00:55,-94.1637,41.8278,65.80,65.80,100.00,70.00,12.00,0.00,29.86,M,5.00,16.00,OVC,M,M,M,600.00,M,M,M,-DZ,M,M,M,M,M,M,M,KPRO 110055Z AUTO 07012G16KT 5SM -DZ OVC006 19/19 A2986 RMK AO2 T01880188
PRO,2021-07-11 01:15,-94.1637,41.8278,65.80,65.80,100.00,60.00,9.00,0.00,29.88,M,4.00,M,OVC,M,M,M,600.00,M,M,M,-DZ,M,M,M,M,M,M,M,KPRO 110115Z AUTO 06009KT 4SM -DZ OVC006 19/19 A2988 RMK AO2 T01880188
PRO,2021-07-11 01:35,-94.1637,41.8278,65.80,65.80,100.00,60.00,9.00,0.00,29.89,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KPRO 110135Z AUTO 06009KT 7SM OVC006 19/19 A2989 RMK AO2 T01880188
PRO,2021-07-11 01:55,-94.1637,41.8278,65.80,65.80,100.00,50.00,10.00,0.00,29.89,M,7.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KPRO 110155Z AUTO 05010KT 7SM OVC008 19/19 A2989 RMK AO2 T01880188
PRO,2021-07-11 02:15,-94.1637,41.8278,65.80,65.80,100.00,50.00,8.00,0.00,29.90,M,7.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KPRO 110215Z AUTO 05008KT 7SM OVC008 19/19 A2990 RMK AO2 T01880188
PRO,2021-07-11 02:35,-94.1637,41.8278,65.80,65.80,100.00,60.00,8.00,0.00,29.92,M,10.00,M,SCT,OVC,M,M,1000.00,2000.00,M,M,M,M,M,M,M,M,M,M,KPRO 110235Z AUTO 06008KT 10SM SCT010 OVC020 19/19 A2992 RMK AO2 T01880188
PRO,2021-07-11 02:55,-94.1637,41.8278,65.80,65.70,99.65,60.00,5.00,0.01,29.93,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,M,KPRO 110255Z AUTO 06005KT 10SM OVC024 19/19 A2993 RMK AO2 P0001 60001 T01880187
PRO,2021-07-11 03:15,-94.1637,41.8278,65.70,65.70,100.00,50.00,3.00,0.00,29.94,M,10.00,M,BKN,OVC,M,M,2600.00,4300.00,M,M,-RA,M,M,M,M,M,M,M,KPRO 110315Z AUTO 05003KT 10SM -RA BKN026 OVC043 19/19 A2994 RMK AO2 T01870187
