#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
PSO,2021-07-11 00:15,-107.0560,37.2863,92.70,15.40,5.81,320.00,8.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.61,KPSO 110015Z AUTO 32008KT 10SM CLR 34/M09 A3024 RMK AO2 T03371092
PSO,2021-07-11 00:35,-107.0560,37.2863,91.90,16.20,6.17,350.00,5.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.06,KPSO 110035Z AUTO 35005KT 10SM CLR 33/M09 A3024 RMK AO2 T03331088
PSO,2021-07-11 00:55,-107.0560,37.2863,91.00,14.90,6.00,350.00,5.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,VCTS,M,M,M,M,M,M,85.35,KPSO 110055Z AUTO 35005KT 10SM VCTS CLR 33/M09 A3024 RMK AO2 T03281095
PSO,2021-07-11 01:15,-107.0560,37.2863,89.60,13.80,5.97,360.00,7.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.29,KPSO 110115Z AUTO 36007KT 10SM CLR 32/M10 A3025 RMK AO2 T03201101
PSO,2021-07-11 01:35,-107.0560,37.2863,87.80,14.70,6.58,10.00,5.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.02,KPSO 110135Z AUTO 01005KT 10SM CLR 31/M10 A3025 RMK AO2 T03101096
PSO,2021-07-11 01:55,-107.0560,37.2863,85.80,15.10,7.13,10.00,7.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.61,KPSO 110155Z AUTO 01007KT 10SM CLR 30/M09 A3025 RMK AO2 T02991094
PSO,2021-07-11 02:15,-107.0560,37.2863,83.30,14.40,7.50,360.00,6.00,0.00,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.83,KPSO 110215Z AUTO 36006KT 10SM CLR 29/M10 A3026 RMK AO2 T02851098
PSO,2021-07-11 02:35,-107.0560,37.2863,81.90,14.00,7.71,0.00,0.00,0.00,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.86,KPSO 110235Z AUTO 00000KT 10SM CLR 28/M10 A3027 RMK AO2 T02771100
PSO,2021-07-11 02:55,-107.0560,37.2863,80.10,14.90,8.50,10.00,3.00,0.00,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.81,KPSO 110255Z AUTO 01003KT 10SM CLR 27/M09 A3027 RMK AO2 T02671095
PSO,2021-07-11 03:15,-107.0560,37.2863,73.20,16.50,11.46,0.00,0.00,0.00,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KPSO 110315Z AUTO 00000KT 10SM CLR 23/M09 A3028 RMK AO2 T02291086
PSO,2021-07-11 03:35,-107.0560,37.2863,72.30,17.40,12.29,0.00,0.00,0.00,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KPSO 110335Z AUTO 00000KT 10SM CLR 22/M08 A3028 RMK AO2 T02241081
PSO,2021-07-11 03:55,-107.0560,37.2863,68.90,17.40,13.79,0.00,0.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KPSO 110355Z AUTO 00000KT 10SM CLR 21/M08 A3029 RMK AO2 T02051081
PSO,2021-07-11 04:15,-107.0560,37.2863,66.00,17.80,15.51,0.00,0.00,0.00,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KPSO 110415Z AUTO 00000KT 10SM CLR 19/M08 A3031 RMK AO2 T01891079
