#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
PUB,2021-07-11 00:00,-104.4983,38.2900,M,M,M,70.00,10.00,M,30.15,M,10.00,M,BKN,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110000Z AUTO 07010KT 10SM BKN085 31/10 A3014 RMK T03100100 MADISHF
PUB,2021-07-11 00:05,-104.4983,38.2900,M,M,M,60.00,10.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110005Z AUTO 06010KT 10SM OVC085 31/10 A3015 RMK T03100100 MADISHF
PUB,2021-07-11 00:10,-104.4983,38.2900,M,M,M,100.00,10.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110010Z AUTO 10010KT 10SM OVC085 31/10 A3015 RMK T03100100 MADISHF
PUB,2021-07-11 00:15,-104.4983,38.2900,M,M,M,80.00,9.00,M,30.16,M,10.00,15.00,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110015Z AUTO 08009G15KT 10SM OVC085 31/10 A3015 RMK T03100100 MADISHF
PUB,2021-07-11 00:20,-104.4983,38.2900,M,M,M,90.00,10.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110020Z AUTO 09010KT 10SM OVC085 31/09 A3015 RMK T03100090 MADISHF
PUB,2021-07-11 00:25,-104.4983,38.2900,M,M,M,100.00,11.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110025Z AUTO 10011KT 10SM OVC085 31/09 A3015 RMK T03100090 MADISHF
PUB,2021-07-11 00:30,-104.4983,38.2900,M,M,M,90.00,11.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110030Z AUTO 09011KT 10SM OVC085 31/09 A3015 RMK T03100090 MADISHF
PUB,2021-07-11 00:35,-104.4983,38.2900,M,M,M,100.00,11.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110035Z AUTO 10011KT 10SM OVC085 31/10 A3015 RMK T03100100 MADISHF
PUB,2021-07-11 00:40,-104.4983,38.2900,M,M,M,90.00,14.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110040Z AUTO 09014KT 10SM OVC085 30/10 A3015 RMK T03000100 MADISHF
PUB,2021-07-11 00:45,-104.4983,38.2900,M,M,M,100.00,14.00,M,30.16,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KPUB 110045Z AUTO 10014KT 10SM OVC085 30/10 A3015 RMK T03000100 MADISHF
