#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
PVD,2021-07-11 00:05,-71.4325,41.7219,M,M,M,50.00,5.00,M,30.03,M,10.00,M,FEW,FEW,M,M,1999.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110005Z AUTO 05005KT 10SM FEW019 FEW079 20/16 A3003 RMK T02000160 MADISHF
PVD,2021-07-11 00:10,-71.4325,41.7219,M,M,M,40.00,5.00,M,30.03,M,10.00,M,FEW,FEW,M,M,1999.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110010Z AUTO 04005KT 10SM FEW019 FEW079 20/15 A3003 RMK T02000150 MADISHF
PVD,2021-07-11 00:15,-71.4325,41.7219,M,M,M,50.00,5.00,M,30.03,M,10.00,M,FEW,FEW,M,M,1999.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110015Z AUTO 05005KT 10SM FEW019 FEW079 20/15 A3003 RMK T02000150 MADISHF
PVD,2021-07-11 00:25,-71.4325,41.7219,M,M,M,40.00,4.00,M,30.03,M,10.00,M,FEW,FEW,M,M,1999.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110025Z AUTO 04004KT 10SM FEW019 FEW079 19/15 A3003 RMK T01900150 MADISHF
PVD,2021-07-11 00:35,-71.4325,41.7219,M,M,M,20.00,4.00,M,30.04,M,10.00,M,FEW,FEW,M,M,1999.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110035Z AUTO 02004KT 10SM FEW019 FEW079 19/15 A3004 RMK T01900150 MADISHF
PVD,2021-07-11 00:40,-71.4325,41.7219,M,M,M,10.00,4.00,M,30.04,M,10.00,M,FEW,FEW,M,M,1999.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110040Z AUTO 01004KT 10SM FEW019 FEW079 19/15 A3004 RMK T01900150 MADISHF
PVD,2021-07-11 00:45,-71.4325,41.7219,M,M,M,20.00,4.00,M,30.04,M,10.00,M,FEW,FEW,M,M,1999.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110045Z AUTO 02004KT 10SM FEW019 FEW079 19/15 A3004 RMK T01900150 MADISHF
PVD,2021-07-11 00:50,-71.4325,41.7219,M,M,M,20.00,2.00,M,30.04,M,10.00,M,FEW,FEW,M,M,6500.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110050Z AUTO 02002KT 10SM FEW065 FEW079 19/15 A3004 RMK T01900150 MADISHF
PVD,2021-07-11 00:51,-71.4325,41.7219,66.90,59.00,75.74,10.00,3.00,0.00,30.04,1017.30,10.00,M,FEW,FEW,M,M,6500.00,8000.00,M,M,M,M,M,M,M,M,M,M,KPVD 110051Z 01003KT 10SM FEW065 FEW080 19/15 A3004 RMK AO2 SLP173 T01940150
PVD,2021-07-11 00:55,-71.4325,41.7219,M,M,M,10.00,2.00,M,30.04,M,10.00,M,FEW,FEW,M,M,6500.00,7999.00,M,M,M,M,M,M,M,M,M,M,KPVD 110055Z AUTO 01002KT 10SM FEW065 FEW079 19/15 A3004 RMK T01900150 MADISHF
