#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
RCV,2021-07-11 00:15,-106.3520,37.7138,89.10,13.80,6.07,290.00,15.00,0.00,30.30,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.93,KRCV 110015Z AUTO 29015KT CLR 32/M10 A3030 RMK AO2 T03171101 PWINO
RCV,2021-07-11 00:35,-106.3520,37.7138,88.00,14.70,6.54,290.00,15.00,0.00,30.30,M,M,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.17,KRCV 110035Z AUTO 29015G20KT CLR 31/M10 A3030 RMK AO2 T03111096 PWINO
RCV,2021-07-11 00:55,-106.3520,37.7138,87.40,16.00,7.05,310.00,16.00,0.00,30.30,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.79,KRCV 110055Z AUTO 31016KT CLR 31/M09 A3030 RMK AO2 T03081089 PWINO
RCV,2021-07-11 01:15,-106.3520,37.7138,86.00,17.60,7.90,340.00,12.00,0.00,30.31,M,M,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.85,KRCV 110115Z AUTO 34012G19KT CLR 30/M08 A3031 RMK AO2 T03001080 PWINO
RCV,2021-07-11 01:35,-106.3520,37.7138,85.10,17.80,8.20,330.00,11.00,0.00,30.32,M,M,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.23,KRCV 110135Z AUTO 33011G15KT CLR 30/M08 A3032 RMK AO2 T02951079 PWINO
RCV,2021-07-11 01:55,-106.3520,37.7138,83.10,24.60,11.67,80.00,11.00,0.00,30.33,M,M,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.24,KRCV 110155Z AUTO 08011G14KT CLR 28/M04 A3033 RMK AO2 T02841041 PWINO
RCV,2021-07-11 02:15,-106.3520,37.7138,73.80,50.00,43.11,90.00,11.00,0.00,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110215Z AUTO 09011KT 10SM CLR 23/10 A3034 RMK AO2 T02320100
RCV,2021-07-11 02:35,-106.3520,37.7138,70.70,50.40,48.59,100.00,7.00,0.00,30.37,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110235Z AUTO 10007KT 10SM CLR 22/10 A3037 RMK AO2 T02150102
RCV,2021-07-11 02:55,-106.3520,37.7138,67.80,50.90,54.67,120.00,6.00,0.00,30.38,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110255Z AUTO 12006KT 10SM CLR 20/11 A3038 RMK AO2 T01990105
RCV,2021-07-11 03:15,-106.3520,37.7138,66.70,50.20,55.33,130.00,4.00,0.00,30.38,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110315Z AUTO 13004KT 10SM CLR 19/10 A3038 RMK AO2 T01930101
RCV,2021-07-11 03:35,-106.3520,37.7138,64.90,49.30,56.96,80.00,6.00,0.00,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110335Z AUTO 08006KT 10SM CLR 18/10 A3040 RMK AO2 T01830096
RCV,2021-07-11 03:55,-106.3520,37.7138,65.10,48.20,54.29,60.00,7.00,0.00,30.40,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110355Z AUTO 06007KT 10SM CLR 18/09 A3040 RMK AO2 T01840090
RCV,2021-07-11 04:15,-106.3520,37.7138,64.80,48.60,55.69,60.00,6.00,0.00,30.42,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110415Z AUTO 06006KT 10SM CLR 18/09 A3042 RMK AO2 T01820092
RCV,2021-07-11 04:35,-106.3520,37.7138,64.20,48.40,56.44,30.00,5.00,0.00,30.42,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110435Z AUTO 03005KT 10SM CLR 18/09 A3042 RMK AO2 T01790091
RCV,2021-07-11 04:55,-106.3520,37.7138,62.80,47.80,57.96,0.00,0.00,0.00,30.42,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRCV 110455Z AUTO 00000KT 7SM CLR 17/09 A3042 RMK AO2 T01710088
