#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
RDK,2021-07-11 00:15,-95.2624,41.0106,68.00,64.40,88.26,290.00,9.00,0.00,29.88,M,10.00,15.00,FEW,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,M,KRDK 110015Z AUTO 29009G15KT 10SM FEW036 20/18 A2988 RMK AO2
RDK,2021-07-11 00:35,-95.2624,41.0106,68.00,66.20,93.97,310.00,9.00,0.00,29.88,M,10.00,M,SCT,SCT,BKN,M,1400.00,2200.00,3600.00,M,M,M,M,M,M,M,M,M,KRDK 110035Z AUTO 31009KT 10SM SCT014 SCT022 BKN036 20/19 A2988 RMK AO2
RDK,2021-07-11 00:55,-95.2624,41.0106,68.00,66.20,93.97,310.00,6.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,1400.00,2200.00,M,M,M,M,M,M,M,M,M,M,KRDK 110055Z AUTO 31006KT 10SM BKN014 OVC022 20/19 A2988 RMK AO2
RDK,2021-07-11 01:15,-95.2624,41.0106,68.00,66.20,93.97,310.00,9.00,0.00,29.87,M,10.00,M,BKN,BKN,OVC,M,1400.00,2000.00,2400.00,M,M,M,M,M,M,M,M,M,KRDK 110115Z AUTO 31009KT 10SM BKN014 BKN020 OVC024 20/19 A2987 RMK AO2
RDK,2021-07-11 01:35,-95.2624,41.0106,68.00,66.20,93.97,320.00,7.00,0.00,29.87,M,10.00,13.00,FEW,OVC,M,M,1300.00,2400.00,M,M,M,M,M,M,M,M,M,M,KRDK 110135Z AUTO 32007G13KT 10SM FEW013 OVC024 20/19 A2987 RMK AO2
RDK,2021-07-11 01:55,-95.2624,41.0106,68.00,66.20,93.97,330.00,9.00,0.00,29.87,M,10.00,18.00,OVC,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,M,KRDK 110155Z AUTO 33009G18KT 10SM OVC026 20/19 A2987 RMK AO2
RDK,2021-07-11 02:15,-95.2624,41.0106,68.00,64.40,88.26,330.00,10.00,0.00,29.88,M,10.00,16.00,OVC,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,M,KRDK 110215Z AUTO 33010G16KT 10SM OVC026 20/18 A2988 RMK AO2
RDK,2021-07-11 02:35,-95.2624,41.0106,66.20,64.40,93.92,320.00,7.00,0.00,29.88,M,10.00,M,SCT,BKN,OVC,M,2000.00,2400.00,6000.00,M,M,M,M,M,M,M,M,M,KRDK 110235Z AUTO 32007KT 10SM SCT020 BKN024 OVC060 19/18 A2988 RMK AO2
RDK,2021-07-11 02:55,-95.2624,41.0106,66.20,64.40,93.92,330.00,8.00,0.00,29.89,M,10.00,M,SCT,BKN,BKN,M,1900.00,2500.00,3300.00,M,M,M,M,M,M,M,M,M,KRDK 110255Z AUTO 33008KT 10SM SCT019 BKN025 BKN033 19/18 A2989 RMK AO2
RDK,2021-07-11 03:15,-95.2624,41.0106,68.00,66.20,93.97,350.00,9.00,0.00,29.90,M,10.00,M,BKN,BKN,OVC,M,1300.00,2000.00,2500.00,M,M,M,M,M,M,M,M,M,KRDK 110315Z AUTO 35009KT 10SM BKN013 BKN020 OVC025 20/19 A2990 RMK AO2
RDK,2021-07-11 03:35,-95.2624,41.0106,68.00,66.20,93.97,350.00,9.00,0.00,29.90,M,10.00,M,BKN,OVC,M,M,1300.00,1700.00,M,M,M,M,M,M,M,M,M,M,KRDK 110335Z AUTO 35009KT 10SM BKN013 OVC017 20/19 A2990 RMK AO2
RDK,2021-07-11 03:55,-95.2624,41.0106,68.00,66.20,93.97,360.00,10.00,0.00,29.91,M,10.00,16.00,FEW,OVC,M,M,900.00,1400.00,M,M,M,M,M,M,M,M,M,M,KRDK 110355Z AUTO 36010G16KT 10SM FEW009 OVC014 20/19 A2991 RMK AO2
RDK,2021-07-11 04:15,-95.2624,41.0106,68.00,66.20,93.97,10.00,8.00,0.00,29.92,M,10.00,M,FEW,BKN,OVC,M,800.00,1400.00,2300.00,M,M,M,M,M,M,M,M,M,KRDK 110415Z AUTO 01008KT 10SM FEW008 BKN014 OVC023 20/19 A2992 RMK AO2
