#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
RIL,2021-07-11 00:00,-107.7269,39.5263,M,M,M,360.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110000Z AUTO 36010KT 10SM CLR 34/M01 RMK T03401010 MADISHF
RIL,2021-07-11 00:05,-107.7269,39.5263,M,M,M,360.00,11.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110005Z AUTO 36011KT 10SM CLR 34/M02 RMK T03401020 MADISHF
RIL,2021-07-11 00:10,-107.7269,39.5263,M,M,M,360.00,11.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110010Z AUTO 36011KT 10SM CLR 34/M02 RMK T03401020 MADISHF
RIL,2021-07-11 00:15,-107.7269,39.5263,M,M,M,340.00,7.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110015Z AUTO 34007KT 10SM CLR 34/M03 RMK T03401030 MADISHF
RIL,2021-07-11 00:20,-107.7269,39.5263,M,M,M,340.00,9.00,M,M,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110020Z AUTO 34009G16KT 10SM CLR 34/M02 RMK T03401020 MADISHF
RIL,2021-07-11 00:25,-107.7269,39.5263,M,M,M,340.00,7.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110025Z AUTO 34007KT 10SM CLR 34/M03 RMK T03401030 MADISHF
RIL,2021-07-11 00:30,-107.7269,39.5263,M,M,M,340.00,9.00,M,M,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110030Z AUTO 34009G16KT 10SM CLR 34/M03 RMK T03401030 MADISHF
RIL,2021-07-11 00:35,-107.7269,39.5263,M,M,M,330.00,7.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110035Z AUTO 33007KT 10SM CLR 34/M03 RMK T03401030 MADISHF
RIL,2021-07-11 00:40,-107.7269,39.5263,M,M,M,330.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110040Z AUTO 33009KT 10SM CLR 34/M04 RMK T03401040 MADISHF
RIL,2021-07-11 00:45,-107.7269,39.5263,M,M,M,330.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110045Z AUTO 33008KT 10SM CLR 34/M04 RMK T03401040 MADISHF
RIL,2021-07-11 00:50,-107.7269,39.5263,M,M,M,330.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110050Z AUTO 33009KT 10SM CLR 33/M04 RMK T03301040 MADISHF
RIL,2021-07-11 00:53,-107.7269,39.5263,91.90,25.00,8.97,330.00,9.00,0.00,30.17,1013.60,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.60,KRIL 110053Z AUTO 33009G16KT 10SM CLR 33/M04 A3017 RMK AO2 SLP136 T03331039
RIL,2021-07-11 00:55,-107.7269,39.5263,M,M,M,340.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110055Z AUTO 34009KT 10SM CLR 33/M04 RMK T03301040 MADISHF
RIL,2021-07-11 01:00,-107.7269,39.5263,M,M,M,340.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110100Z AUTO 34010KT 10SM CLR 33/M05 RMK T03301050 MADISHF
RIL,2021-07-11 01:05,-107.7269,39.5263,M,M,M,360.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110105Z AUTO 36008KT 10SM CLR 33/M05 RMK T03301050 MADISHF
RIL,2021-07-11 01:10,-107.7269,39.5263,M,M,M,360.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110110Z AUTO 36009KT 10SM CLR 33/M05 RMK T03301050 MADISHF
RIL,2021-07-11 01:15,-107.7269,39.5263,M,M,M,360.00,11.00,M,M,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110115Z AUTO 36011G19KT 10SM CLR 33/M04 RMK T03301040 MADISHF
RIL,2021-07-11 01:20,-107.7269,39.5263,M,M,M,360.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110120Z AUTO 36009KT 10SM CLR 33/M04 RMK T03301040 MADISHF
RIL,2021-07-11 01:25,-107.7269,39.5263,M,M,M,360.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KRIL 110125Z AUTO 36009KT 10SM CLR 32/M05 RMK T03201050 MADISHF
