#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SBS,2021-07-11 00:15,-106.8663,40.5162,83.30,27.00,12.80,290.00,5.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.55,KSBS 110015Z AUTO 29005KT 10SM CLR 29/M03 A3029 RMK AO1 T02851028
SBS,2021-07-11 00:35,-106.8663,40.5162,83.30,28.90,13.84,300.00,7.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.59,KSBS 110035Z AUTO 30007KT 10SM CLR 29/M02 A3029 RMK AO1 T02851017
SBS,2021-07-11 00:55,-106.8663,40.5162,82.60,29.70,14.63,290.00,7.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.10,KSBS 110055Z AUTO 29007KT 10SM CLR 28/M01 A3029 RMK AO1 T02811013
SBS,2021-07-11 01:15,-106.8663,40.5162,81.50,28.90,14.68,280.00,6.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.33,KSBS 110115Z AUTO 28006KT 10SM CLR 28/M02 A3029 RMK AO1 T02751017
SBS,2021-07-11 01:35,-106.8663,40.5162,79.90,30.60,16.57,290.00,6.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110135Z AUTO 29006KT 10SM CLR 27/M01 A3029 RMK AO1 T02661008
SBS,2021-07-11 01:55,-106.8663,40.5162,77.20,32.70,19.72,300.00,7.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110155Z AUTO 30007KT 10SM CLR 25/00 A3029 RMK AO1 T02510004
SBS,2021-07-11 02:15,-106.8663,40.5162,74.30,32.90,21.89,300.00,9.00,0.00,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110215Z AUTO 30009KT 10SM CLR 24/01 A3030 RMK AO1 T02350005
SBS,2021-07-11 02:35,-106.8663,40.5162,75.00,28.60,17.96,330.00,10.00,0.00,30.30,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110235Z AUTO 33010G15KT 10SM CLR 24/M02 A3030 RMK AO1 T02391019
SBS,2021-07-11 02:55,-106.8663,40.5162,72.70,28.90,19.65,0.00,0.00,0.00,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110255Z AUTO 00000KT 10SM CLR 23/M02 A3031 RMK AO1 T02261017
SBS,2021-07-11 03:15,-106.8663,40.5162,68.40,32.00,25.80,0.00,0.00,0.00,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110315Z AUTO 00000KT 10SM CLR 20/00 A3032 RMK AO1 T02020000
SBS,2021-07-11 03:35,-106.8663,40.5162,66.20,32.00,27.83,130.00,5.00,0.00,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110335Z AUTO 13005KT 10SM CLR 19/00 A3032 RMK AO1 T01900000
SBS,2021-07-11 03:55,-106.8663,40.5162,66.00,32.00,28.03,110.00,3.00,0.00,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110355Z AUTO 11003KT 10SM CLR 19/00 A3034 RMK AO1 T01890000
SBS,2021-07-11 04:15,-106.8663,40.5162,66.70,30.70,25.95,70.00,4.00,0.00,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110415Z AUTO 07004KT 10SM CLR 19/M01 A3033 RMK AO1 T01931007
SBS,2021-07-11 04:35,-106.8663,40.5162,67.50,28.00,22.61,160.00,3.00,0.00,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110435Z AUTO 16003KT 10SM CLR 20/M02 A3032 RMK AO1 T01971022
SBS,2021-07-11 04:55,-106.8663,40.5162,62.20,32.40,32.53,190.00,11.00,0.00,30.32,M,10.00,M,SCT,SCT,SCT,M,2500.00,3100.00,3800.00,M,M,M,M,M,M,M,M,M,KSBS 110455Z AUTO 19011KT 10SM SCT025 SCT031 SCT038 17/00 A3032 RMK AO1 T01680002 402960073
SBS,2021-07-11 05:15,-106.8663,40.5162,58.80,32.90,37.46,330.00,4.00,0.00,30.33,M,10.00,M,SCT,BKN,M,M,2500.00,3700.00,M,M,M,M,M,M,M,M,M,M,KSBS 110515Z AUTO 33004KT 10SM SCT025 BKN037 15/01 A3033 RMK AO1 T01490005
SBS,2021-07-11 05:35,-106.8663,40.5162,62.60,31.60,31.06,0.00,0.00,0.00,30.34,M,10.00,M,SCT,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110535Z AUTO 00000KT 10SM SCT039 17/00 A3034 RMK AO1 T01701002
SBS,2021-07-11 05:55,-106.8663,40.5162,57.90,32.70,38.38,110.00,5.00,0.00,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110555Z AUTO 11005KT 10SM CLR 14/00 A3033 RMK AO1 T01440004 10289 20144
SBS,2021-07-11 06:15,-106.8663,40.5162,60.30,31.50,33.56,0.00,0.00,0.00,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110615Z AUTO 00000KT 10SM CLR 16/00 A3034 RMK AO1 T01571003
SBS,2021-07-11 06:35,-106.8663,40.5162,59.40,32.50,36.08,0.00,0.00,0.00,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSBS 110635Z AUTO 00000KT 10SM CLR 15/00 A3034 RMK AO1 T01520003
SBS,2021-07-11 06:55,-106.8663,40.5162,57.60,32.00,37.72,0.00,0.00,0.00,30.33,M,10.00,M,SCT,SCT,M,M,3700.00,4500.00,M,M,M,M,M,M,M,M,M,M,KSBS 110655Z AUTO 00000KT 10SM SCT037 SCT045 14/00 A3033 RMK AO1 T01420000
SBS,2021-07-11 07:15,-106.8663,40.5162,57.60,31.10,36.37,0.00,0.00,0.00,30.34,M,10.00,M,BKN,M,M,M,4100.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110715Z AUTO 00000KT 10SM BKN041 14/00 A3034 RMK AO1 T01421005
SBS,2021-07-11 07:35,-106.8663,40.5162,55.80,31.30,39.13,0.00,0.00,0.00,30.34,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110735Z AUTO 00000KT 10SM OVC041 13/00 A3034 RMK AO1 T01321004
SBS,2021-07-11 07:55,-106.8663,40.5162,55.20,31.60,40.48,0.00,0.00,0.00,30.33,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110755Z AUTO 00000KT 10SM OVC039 13/00 A3033 RMK AO1 T01291002
SBS,2021-07-11 08:15,-106.8663,40.5162,53.60,31.10,42.05,0.00,0.00,0.00,30.33,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110815Z AUTO 00000KT 10SM OVC039 12/00 A3033 RMK AO1 T01201005
SBS,2021-07-11 08:35,-106.8663,40.5162,52.20,30.70,43.56,0.00,0.00,0.00,30.33,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110835Z AUTO 00000KT 10SM OVC039 11/M01 A3033 RMK AO1 T01121007
SBS,2021-07-11 08:55,-106.8663,40.5162,52.30,30.40,42.87,0.00,0.00,0.00,30.32,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110855Z AUTO 00000KT 10SM OVC039 11/M01 A3032 RMK AO1 T01131009
SBS,2021-07-11 09:15,-106.8663,40.5162,49.60,31.50,49.54,0.00,0.00,0.00,30.33,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110915Z AUTO 00000KT 10SM OVC039 10/00 A3033 RMK AO1 T00981003
SBS,2021-07-11 09:35,-106.8663,40.5162,49.50,31.10,48.93,0.00,0.00,0.00,30.33,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110935Z AUTO 00000KT 10SM OVC039 10/00 A3033 RMK AO1 T00971005
SBS,2021-07-11 09:55,-106.8663,40.5162,49.50,31.10,48.93,0.00,0.00,0.00,30.33,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KSBS 110955Z AUTO 00000KT 10SM OVC039 10/00 A3033 RMK AO1 T00971005
