#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SDA,2021-07-11 00:15,-95.4112,40.7533,69.80,64.40,82.98,310.00,7.00,0.00,29.88,M,10.00,M,BKN,BKN,M,M,1800.00,2600.00,M,M,M,M,M,M,M,M,M,M,KSDA 110015Z AUTO 31007KT 290V350 10SM BKN018 BKN026 21/18 A2988 RMK AO2
SDA,2021-07-11 00:35,-95.4112,40.7533,69.80,66.20,88.34,320.00,7.00,0.00,29.87,M,10.00,12.00,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KSDA 110035Z AUTO 32007G12KT 10SM OVC019 21/19 A2987 RMK AO2
SDA,2021-07-11 00:55,-95.4112,40.7533,69.80,66.20,88.34,320.00,8.00,0.00,29.86,M,10.00,M,BKN,OVC,M,M,1600.00,2100.00,M,M,M,M,M,M,M,M,M,M,KSDA 110055Z AUTO 32008KT 10SM BKN016 OVC021 21/19 A2986 RMK AO2
SDA,2021-07-11 01:15,-95.4112,40.7533,68.00,66.20,93.97,340.00,7.00,0.00,29.87,M,10.00,M,BKN,BKN,M,M,1600.00,3600.00,M,M,M,M,M,M,M,M,M,M,KSDA 110115Z AUTO 34007KT 10SM BKN016 BKN036 20/19 A2987 RMK AO2
SDA,2021-07-11 01:35,-95.4112,40.7533,68.00,66.20,93.97,320.00,5.00,0.00,29.87,M,10.00,11.00,FEW,FEW,BKN,M,1500.00,2200.00,3300.00,M,M,M,M,M,M,M,M,M,KSDA 110135Z AUTO 32005G11KT 10SM FEW015 FEW022 BKN033 20/19 A2987 RMK AO2
SDA,2021-07-11 01:55,-95.4112,40.7533,68.00,66.20,93.97,310.00,5.00,0.00,29.87,M,10.00,12.00,OVC,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,M,KSDA 110155Z AUTO 31005G12KT 10SM OVC032 20/19 A2987 RMK AO2
SDA,2021-07-11 02:15,-95.4112,40.7533,68.00,66.20,93.97,320.00,8.00,0.00,29.88,M,10.00,14.00,OVC,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,M,KSDA 110215Z AUTO 32008G14KT 10SM OVC031 20/19 A2988 RMK AO2
SDA,2021-07-11 02:35,-95.4112,40.7533,68.00,66.20,93.97,330.00,6.00,0.00,29.88,M,10.00,12.00,BKN,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,KSDA 110235Z AUTO 33006G12KT 10SM BKN030 20/19 A2988 RMK AO2
SDA,2021-07-11 02:55,-95.4112,40.7533,68.00,68.00,100.00,M,4.00,0.00,29.88,M,10.00,10.00,OVC,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,M,KSDA 110255Z AUTO VRB04G10KT 10SM OVC029 20/20 A2988 RMK AO2
SDA,2021-07-11 03:15,-95.4112,40.7533,68.00,66.20,93.97,340.00,4.00,0.00,29.89,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,M,KSDA 110315Z AUTO 34004KT 10SM OVC027 20/19 A2989 RMK AO2
SDA,2021-07-11 03:35,-95.4112,40.7533,68.00,66.20,93.97,330.00,5.00,0.00,29.89,M,10.00,M,SCT,OVC,M,M,2200.00,2800.00,M,M,M,M,M,M,M,M,M,M,KSDA 110335Z AUTO 33005KT 10SM SCT022 OVC028 20/19 A2989 RMK AO2
SDA,2021-07-11 03:55,-95.4112,40.7533,68.00,66.20,93.97,340.00,7.00,0.00,29.90,M,10.00,M,BKN,OVC,M,M,1700.00,2200.00,M,M,M,M,M,M,M,M,M,M,KSDA 110355Z AUTO 34007KT 310V020 10SM BKN017 OVC022 20/19 A2990 RMK AO2
SDA,2021-07-11 04:15,-95.4112,40.7533,68.00,66.20,93.97,330.00,8.00,0.00,29.90,M,10.00,M,BKN,OVC,M,M,1500.00,2000.00,M,M,M,M,M,M,M,M,M,M,KSDA 110415Z AUTO 33008KT 10SM BKN015 OVC020 20/19 A2990 RMK AO2
