#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SFZ,2021-07-11 00:05,-71.4914,41.9208,M,M,M,80.00,4.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110005Z AUTO 08004KT 10SM CLR A3004 RMK MADISHF
SFZ,2021-07-11 00:10,-71.4914,41.9208,M,M,M,80.00,2.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110010Z AUTO 08002KT 10SM CLR A3004 RMK MADISHF
SFZ,2021-07-11 00:15,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110015Z AUTO 00000KT 10SM CLR A3004 RMK MADISHF
SFZ,2021-07-11 00:25,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.05,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110025Z AUTO 00000KT 10SM FEW070 A3004 RMK MADISHF
SFZ,2021-07-11 00:30,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.05,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110030Z AUTO 00000KT 10SM FEW070 A3004 RMK MADISHF
SFZ,2021-07-11 00:35,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.05,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110035Z AUTO 00000KT 10SM SCT070 A3004 RMK MADISHF
SFZ,2021-07-11 00:40,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.05,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110040Z AUTO 00000KT 10SM SCT070 A3004 RMK MADISHF
SFZ,2021-07-11 00:45,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.05,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110045Z AUTO 00000KT 10SM BKN070 A3004 RMK MADISHF
SFZ,2021-07-11 00:50,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.06,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110050Z AUTO 00000KT 10SM BKN070 A3005 RMK MADISHF
SFZ,2021-07-11 00:55,-71.4914,41.9208,M,M,M,0.00,0.00,M,30.06,M,8.00,M,BKN,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSFZ 110055Z AUTO 00000KT 8SM BKN070 A3005 RMK MADISHF
