#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SHL,2021-07-11 00:15,-95.8353,43.2082,64.40,60.80,88.09,50.00,11.00,0.00,29.99,M,10.00,M,FEW,OVC,M,M,2300.00,5000.00,M,M,M,M,M,M,M,M,M,M,KSHL 110015Z AUTO 05011KT 10SM FEW023 OVC050 18/16 A2999 RMK AO2
SHL,2021-07-11 00:35,-95.8353,43.2082,64.40,60.80,88.09,50.00,10.00,0.00,30.00,M,10.00,M,BKN,OVC,M,M,4800.00,5500.00,M,M,M,M,M,M,M,M,M,M,KSHL 110035Z AUTO 05010KT 10SM BKN048 OVC055 18/16 A3000 RMK AO2
SHL,2021-07-11 00:55,-95.8353,43.2082,64.40,60.80,88.09,50.00,7.00,0.00,30.00,M,10.00,M,BKN,OVC,M,M,4900.00,6000.00,M,M,M,M,M,M,M,M,M,M,KSHL 110055Z AUTO 05007KT 10SM BKN049 OVC060 18/16 A3000 RMK AO2
SHL,2021-07-11 01:15,-95.8353,43.2082,64.40,60.80,88.09,50.00,7.00,0.00,30.00,M,10.00,12.00,BKN,OVC,M,M,5000.00,6000.00,M,M,M,M,M,M,M,M,M,M,KSHL 110115Z AUTO 05007G12KT 10SM BKN050 OVC060 18/16 A3000 RMK AO2
SHL,2021-07-11 01:35,-95.8353,43.2082,62.60,60.80,93.83,30.00,5.00,0.00,30.00,M,10.00,M,BKN,OVC,M,M,6000.00,7000.00,M,M,M,M,M,M,M,M,M,M,KSHL 110135Z AUTO 03005KT 10SM BKN060 OVC070 17/16 A3000 RMK AO2
SHL,2021-07-11 01:55,-95.8353,43.2082,62.60,62.60,100.00,20.00,5.00,0.00,30.00,M,10.00,M,BKN,OVC,M,M,7000.00,8000.00,M,M,M,M,M,M,M,M,M,M,KSHL 110155Z AUTO 02005KT 10SM BKN070 OVC080 17/17 A3000 RMK AO2
SHL,2021-07-11 02:15,-95.8353,43.2082,62.60,62.60,100.00,30.00,5.00,0.00,30.00,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSHL 110215Z AUTO 03005KT 10SM OVC070 17/17 A3000 RMK AO2
SHL,2021-07-11 02:35,-95.8353,43.2082,62.60,62.60,100.00,20.00,5.00,0.00,30.01,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSHL 110235Z AUTO 02005KT 10SM OVC070 17/17 A3001 RMK AO2
SHL,2021-07-11 02:55,-95.8353,43.2082,64.40,62.60,93.88,20.00,5.00,0.00,30.01,M,10.00,M,BKN,OVC,M,M,6000.00,7000.00,M,M,M,M,M,M,M,M,M,M,KSHL 110255Z AUTO 02005KT 10SM BKN060 OVC070 18/17 A3001 RMK AO2
SHL,2021-07-11 03:15,-95.8353,43.2082,64.40,62.60,93.88,30.00,6.00,0.00,30.02,M,10.00,M,BKN,OVC,M,M,6500.00,8000.00,M,M,M,M,M,M,M,M,M,M,KSHL 110315Z AUTO 03006KT 10SM BKN065 OVC080 18/17 A3002 RMK AO2
