#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SLB,2021-07-11 00:15,-95.2399,42.5972,62.60,62.60,100.00,60.00,15.00,0.00,29.95,M,10.00,21.00,BKN,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,M,KSLB 110015Z AUTO 06015G21KT 10SM BKN014 17/17 A2995 RMK AO2
SLB,2021-07-11 00:35,-95.2399,42.5972,62.60,62.60,100.00,50.00,13.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,KSLB 110035Z AUTO 05013KT 10SM OVC016 17/17 A2996 RMK AO2
SLB,2021-07-11 00:55,-95.2399,42.5972,62.60,62.60,100.00,50.00,12.00,0.00,29.96,M,10.00,18.00,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KSLB 110055Z AUTO 05012G18KT 10SM OVC019 17/17 A2996 RMK AO2
SLB,2021-07-11 01:15,-95.2399,42.5972,62.60,62.60,100.00,30.00,12.00,0.00,29.97,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KSLB 110115Z AUTO 03012KT 10SM OVC022 17/17 A2997 RMK AO2
SLB,2021-07-11 01:35,-95.2399,42.5972,62.60,62.60,100.00,30.00,12.00,0.00,29.97,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,M,KSLB 110135Z AUTO 03012KT 10SM OVC024 17/17 A2997 RMK AO2
SLB,2021-07-11 01:55,-95.2399,42.5972,62.60,62.60,100.00,40.00,12.00,0.00,29.98,M,10.00,M,BKN,BKN,OVC,M,2500.00,5500.00,8000.00,M,M,M,M,M,M,M,M,M,KSLB 110155Z AUTO 04012KT 10SM BKN025 BKN055 OVC080 17/17 A2998 RMK AO2
SLB,2021-07-11 02:15,-95.2399,42.5972,62.60,62.60,100.00,40.00,12.00,0.00,29.98,M,10.00,18.00,SCT,BKN,OVC,M,2700.00,3200.00,6000.00,M,M,M,M,M,M,M,M,M,KSLB 110215Z AUTO 04012G18KT 10SM SCT027 BKN032 OVC060 17/17 A2998 RMK AO2
SLB,2021-07-11 02:35,-95.2399,42.5972,62.60,62.60,100.00,30.00,11.00,0.00,29.98,M,10.00,17.00,FEW,BKN,OVC,M,3200.00,6000.00,10000.00,M,M,M,M,M,M,M,M,M,KSLB 110235Z AUTO 03011G17KT 10SM FEW032 BKN060 OVC100 17/17 A2998 RMK AO2
SLB,2021-07-11 02:55,-95.2399,42.5972,62.60,62.60,100.00,30.00,10.00,0.00,30.00,M,10.00,16.00,BKN,OVC,M,M,9500.00,11000.00,M,M,M,M,M,M,M,M,M,M,KSLB 110255Z AUTO 03010G16KT 10SM BKN095 OVC110 17/17 A3000 RMK AO2
SLB,2021-07-11 03:15,-95.2399,42.5972,62.60,62.60,100.00,30.00,13.00,0.00,30.00,M,10.00,M,FEW,FEW,SCT,M,5500.00,9500.00,11000.00,M,M,M,M,M,M,M,M,M,KSLB 110315Z AUTO 03013KT 10SM FEW055 FEW095 SCT110 17/17 A3000 RMK AO2
