#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SPD,2021-07-11 00:56,-102.6139,37.2833,84.00,52.00,33.19,30.00,12.00,0.00,30.15,1014.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.36,KSPD 110056Z AUTO 03012KT 29/11 A3015 RMK AO1 SLP140 T02890111
SPD,2021-07-11 01:56,-102.6139,37.2833,79.00,53.10,40.67,50.00,9.00,0.00,30.16,1014.70,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110156Z AUTO 05009KT 26/12 A3016 RMK AO1 SLP147 T02610117
SPD,2021-07-11 02:56,-102.6139,37.2833,72.00,53.10,51.37,40.00,4.00,0.00,30.18,1015.70,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110256Z AUTO 04004KT 22/12 A3018 RMK AO1 SLP157 T02220117 53012
SPD,2021-07-11 03:56,-102.6139,37.2833,71.10,54.00,54.73,40.00,6.00,0.00,30.19,1015.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110356Z AUTO 04006KT 22/12 A3019 RMK AO1 SLP159 T02170122
SPD,2021-07-11 04:56,-102.6139,37.2833,71.10,54.00,54.73,0.00,0.00,0.00,30.20,1016.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110456Z AUTO 00000KT 22/12 A3020 RMK AO1 SLP160 T02170122
SPD,2021-07-11 05:56,-102.6139,37.2833,70.00,54.00,56.82,50.00,7.00,0.00,30.21,1016.30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110556Z AUTO 05007KT 21/12 A3021 RMK AO1 SLP163 T02110122 10294 20206 53010
SPD,2021-07-11 06:56,-102.6139,37.2833,70.00,54.00,56.82,50.00,8.00,0.00,30.21,1016.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110656Z AUTO 05008KT 21/12 A3021 RMK AO1 SLP160 T02110122 403170172
SPD,2021-07-11 07:56,-102.6139,37.2833,66.90,54.00,63.21,0.00,0.00,0.00,30.21,1016.20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110756Z AUTO 00000KT 19/12 A3021 RMK AO1 SLP162 T01940122
SPD,2021-07-11 08:56,-102.6139,37.2833,64.90,54.00,67.76,10.00,5.00,0.00,30.21,1016.40,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110856Z AUTO 01005KT 18/12 A3021 RMK AO1 SLP164 T01830122 55001
SPD,2021-07-11 09:56,-102.6139,37.2833,63.00,53.10,70.07,310.00,5.00,0.00,30.21,1016.60,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSPD 110956Z AUTO 31005KT 17/12 A3021 RMK AO1 SLP166 T01720117
