#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
STK,2021-07-11 00:15,-103.2648,40.6153,82.40,48.20,30.35,60.00,13.00,0.00,30.14,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.80,KSTK 110015Z AUTO 06013G17KT 10SM CLR 28/09 A3014 RMK AO2
STK,2021-07-11 00:35,-103.2648,40.6153,80.60,48.20,32.18,50.00,10.00,0.00,30.15,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.71,KSTK 110035Z AUTO 05010G17KT 10SM CLR 27/09 A3015 RMK AO2
STK,2021-07-11 00:55,-103.2648,40.6153,80.60,50.00,34.41,60.00,5.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.88,KSTK 110055Z AUTO 06005KT 10SM CLR 27/10 A3015 RMK AO2
STK,2021-07-11 01:15,-103.2648,40.6153,78.80,50.00,36.51,60.00,7.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110115Z AUTO 06007KT 10SM CLR 26/10 A3016 RMK AO2
STK,2021-07-11 01:35,-103.2648,40.6153,78.80,51.80,39.02,70.00,7.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110135Z AUTO 07007KT 10SM CLR 26/11 A3016 RMK AO2
STK,2021-07-11 01:55,-103.2648,40.6153,77.00,51.80,41.42,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110155Z AUTO 00000KT 10SM CLR 25/11 A3017 RMK AO2
STK,2021-07-11 02:15,-103.2648,40.6153,75.20,51.80,43.97,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110215Z AUTO 00000KT 10SM CLR 24/11 A3017 RMK AO2
STK,2021-07-11 02:35,-103.2648,40.6153,73.40,51.80,46.71,0.00,0.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110235Z AUTO 00000KT 10SM CLR 23/11 A3019 RMK AO2
STK,2021-07-11 02:55,-103.2648,40.6153,71.60,51.80,49.64,0.00,0.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110255Z AUTO 00000KT 10SM CLR 22/11 A3019 RMK AO2
STK,2021-07-11 03:15,-103.2648,40.6153,71.60,50.00,46.43,0.00,0.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110315Z AUTO 00000KT 10SM CLR 22/10 A3020 RMK AO2
STK,2021-07-11 03:35,-103.2648,40.6153,69.80,50.00,49.37,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110335Z AUTO 00000KT 10SM CLR 21/10 A3021 RMK AO2
STK,2021-07-11 03:55,-103.2648,40.6153,69.80,50.00,49.37,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110355Z AUTO 00000KT 10SM CLR 21/10 A3022 RMK AO2
STK,2021-07-11 04:15,-103.2648,40.6153,62.60,50.00,63.38,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110415Z AUTO 00000KT 10SM CLR 17/10 A3023 RMK AO2
STK,2021-07-11 04:35,-103.2648,40.6153,64.40,51.80,63.60,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110435Z AUTO 00000KT 10SM CLR 18/11 A3023 RMK AO2
STK,2021-07-11 04:55,-103.2648,40.6153,62.60,51.80,67.75,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110455Z AUTO 00000KT 10SM CLR 17/11 A3023 RMK AO2
STK,2021-07-11 05:15,-103.2648,40.6153,64.40,51.80,63.60,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110515Z AUTO 00000KT 10SM CLR 18/11 A3023 RMK AO2
STK,2021-07-11 05:35,-103.2648,40.6153,62.60,51.80,67.75,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110535Z AUTO 00000KT 10SM CLR 17/11 A3023 RMK AO2
STK,2021-07-11 05:55,-103.2648,40.6153,60.80,51.80,72.20,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110555Z AUTO 00000KT 10SM CLR 16/11 A3023 RMK AO2
STK,2021-07-11 06:15,-103.2648,40.6153,60.80,51.80,72.20,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110615Z AUTO 00000KT 10SM CLR 16/11 A3023 RMK AO2
STK,2021-07-11 06:35,-103.2648,40.6153,59.00,51.80,76.98,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110635Z AUTO 00000KT 10SM CLR 15/11 A3023 RMK AO2
STK,2021-07-11 06:55,-103.2648,40.6153,60.80,51.80,72.20,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KSTK 110655Z AUTO 00000KT 10SM CLR 16/11 A3023 RMK AO2
