#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SXK,2021-07-11 00:15,-96.1614,42.9858,62.60,62.60,100.00,50.00,10.00,0.00,29.98,M,10.00,19.00,SCT,BKN,OVC,M,900.00,1200.00,2100.00,M,M,M,M,M,M,M,M,M,KSXK 110015Z AUTO 05010G19KT 10SM SCT009 BKN012 OVC021 17/17 A2998 RMK AO2
SXK,2021-07-11 00:35,-96.1614,42.9858,62.60,62.60,100.00,50.00,15.00,0.00,29.99,M,10.00,M,FEW,OVC,M,M,1100.00,2300.00,M,M,M,M,M,M,M,M,M,M,KSXK 110035Z AUTO 05015KT 10SM FEW011 OVC023 17/17 A2999 RMK AO2
SXK,2021-07-11 00:55,-96.1614,42.9858,62.60,62.60,100.00,50.00,11.00,0.00,29.99,M,10.00,M,SCT,OVC,M,M,2400.00,3200.00,M,M,M,M,M,M,M,M,M,M,KSXK 110055Z AUTO 05011KT 10SM SCT024 OVC032 17/17 A2999 RMK AO2
SXK,2021-07-11 01:15,-96.1614,42.9858,62.60,62.60,100.00,40.00,11.00,0.00,29.99,M,10.00,M,OVC,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,M,KSXK 110115Z AUTO 04011KT 10SM OVC033 17/17 A2999 RMK AO2
SXK,2021-07-11 01:35,-96.1614,42.9858,62.60,62.60,100.00,30.00,10.00,0.00,30.00,M,10.00,M,SCT,BKN,OVC,M,3400.00,6500.00,10000.00,M,M,M,M,M,M,M,M,M,KSXK 110135Z AUTO 03010KT 10SM SCT034 BKN065 OVC100 17/17 A3000 RMK AO2
SXK,2021-07-11 01:55,-96.1614,42.9858,62.60,62.60,100.00,30.00,9.00,0.00,30.00,M,10.00,14.00,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KSXK 110155Z AUTO 03009G14KT 10SM OVC065 17/17 A3000 RMK AO2
SXK,2021-07-11 02:15,-96.1614,42.9858,62.60,62.60,100.00,50.00,7.00,0.00,30.01,M,10.00,M,SCT,OVC,M,M,5500.00,6500.00,M,M,M,M,M,M,M,M,M,M,KSXK 110215Z AUTO 05007KT 10SM SCT055 OVC065 17/17 A3001 RMK AO2
SXK,2021-07-11 02:35,-96.1614,42.9858,62.60,62.60,100.00,50.00,6.00,0.00,30.01,M,10.00,M,FEW,BKN,OVC,M,5500.00,7000.00,9000.00,M,M,M,M,M,M,M,M,M,KSXK 110235Z AUTO 05006KT 10SM FEW055 BKN070 OVC090 17/17 A3001 RMK AO2
SXK,2021-07-11 02:55,-96.1614,42.9858,62.60,62.60,100.00,30.00,6.00,0.00,30.01,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KSXK 110255Z AUTO 03006KT 10SM OVC070 17/17 A3001 RMK AO2
SXK,2021-07-11 03:15,-96.1614,42.9858,62.60,62.60,100.00,20.00,5.00,0.00,30.02,M,10.00,M,BKN,OVC,M,M,7000.00,8000.00,M,M,M,M,M,M,M,M,M,M,KSXK 110315Z AUTO 02005KT 10SM BKN070 OVC080 17/17 A3002 RMK AO2
SXK,2021-07-11 03:35,-96.1614,42.9858,60.80,60.80,100.00,10.00,6.00,0.00,30.02,M,10.00,M,SCT,OVC,M,M,5500.00,7000.00,M,M,M,M,M,M,M,M,M,M,KSXK 110335Z AUTO 01006KT 10SM SCT055 OVC070 16/16 A3002 RMK AO2
