#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
TAD,2021-07-11 00:00,-104.3407,37.2594,M,M,M,20.00,4.00,M,30.24,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110000Z AUTO 02004KT 10SM SCT065 29/11 A3023 RMK T02900110 VRB04KT  MADISHF
TAD,2021-07-11 00:05,-104.3407,37.2594,M,M,M,360.00,2.00,M,30.24,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110005Z AUTO 36002KT 10SM BKN065 29/11 A3023 RMK T02900110 MADISHF
TAD,2021-07-11 00:10,-104.3407,37.2594,M,M,M,100.00,5.00,M,30.24,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110010Z AUTO 10005KT 10SM BKN065 29/12 A3023 RMK T02900120 MADISHF
TAD,2021-07-11 00:15,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.23,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110015Z AUTO 07005KT 10SM BKN065 28/12 A3022 RMK T02800120 MADISHF
TAD,2021-07-11 00:20,-104.3407,37.2594,M,M,M,80.00,5.00,M,30.23,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110020Z AUTO 08005KT 10SM BKN065 28/12 A3022 RMK T02800120 MADISHF
TAD,2021-07-11 00:25,-104.3407,37.2594,M,M,M,70.00,7.00,M,30.24,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110025Z AUTO 07007KT 10SM BKN065 28/12 A3023 RMK T02800120 MADISHF
TAD,2021-07-11 00:30,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.23,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110030Z AUTO 07005KT 10SM BKN065 28/12 A3022 RMK T02800120 MADISHF
TAD,2021-07-11 00:35,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.23,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110035Z AUTO 07005KT 10SM SCT065 28/11 A3022 RMK T02800110 MADISHF
TAD,2021-07-11 00:40,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.23,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110040Z AUTO 07005KT 10SM SCT065 28/12 A3022 RMK T02800120 MADISHF
TAD,2021-07-11 00:45,-104.3407,37.2594,M,M,M,60.00,7.00,M,30.23,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110045Z AUTO 06007KT 10SM FEW065 28/12 A3022 RMK T02800120 MADISHF
TAD,2021-07-11 00:50,-104.3407,37.2594,M,M,M,70.00,7.00,M,30.23,M,10.00,M,FEW,FEW,M,M,6500.00,7999.00,M,M,M,M,M,M,M,M,M,M,KTAD 110050Z AUTO 07007KT 10SM FEW065 FEW079 27/12 A3022 RMK T02700120 MADISHF
TAD,2021-07-11 00:54,-104.3407,37.2594,81.00,52.00,36.58,50.00,7.00,0.00,30.23,1015.20,10.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,80.34,KTAD 110054Z AUTO 05007KT 10SM SCT080 27/11 A3023 RMK AO2 SLP152 T02720111
TAD,2021-07-11 00:55,-104.3407,37.2594,M,M,M,50.00,8.00,M,30.23,M,10.00,M,SCT,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110055Z AUTO 05008KT 10SM SCT079 27/11 A3022 RMK T02700110 MADISHF
TAD,2021-07-11 01:00,-104.3407,37.2594,M,M,M,60.00,7.00,M,30.24,M,10.00,M,BKN,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110100Z AUTO 06007KT 10SM BKN079 27/11 A3023 RMK T02700110 MADISHF
TAD,2021-07-11 01:05,-104.3407,37.2594,M,M,M,50.00,5.00,M,30.24,M,10.00,M,BKN,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110105Z AUTO 05005KT 10SM BKN079 27/12 A3023 RMK T02700120 MADISHF
TAD,2021-07-11 01:10,-104.3407,37.2594,M,M,M,50.00,5.00,M,30.24,M,10.00,M,BKN,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110110Z AUTO 05005KT 10SM BKN079 27/12 A3023 RMK T02700120 MADISHF
TAD,2021-07-11 01:15,-104.3407,37.2594,M,M,M,50.00,7.00,M,30.24,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110115Z AUTO 05007KT 10SM OVC079 27/11 A3023 RMK T02700110 MADISHF
TAD,2021-07-11 01:20,-104.3407,37.2594,M,M,M,60.00,5.00,M,30.24,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110120Z AUTO 06005KT 10SM OVC079 27/11 A3023 RMK T02700110 MADISHF
TAD,2021-07-11 01:25,-104.3407,37.2594,M,M,M,60.00,5.00,M,30.25,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110125Z AUTO 06005KT 10SM OVC079 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 01:30,-104.3407,37.2594,M,M,M,60.00,7.00,M,30.25,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110130Z AUTO 06007KT 10SM OVC079 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 01:35,-104.3407,37.2594,M,M,M,60.00,7.00,M,30.25,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110135Z AUTO 06007KT 10SM OVC079 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 01:40,-104.3407,37.2594,M,M,M,60.00,7.00,M,30.25,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110140Z AUTO 06007KT 10SM OVC079 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 01:45,-104.3407,37.2594,M,M,M,70.00,7.00,M,30.25,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110145Z AUTO 07007KT 10SM OVC085 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 01:50,-104.3407,37.2594,M,M,M,60.00,7.00,M,30.25,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110150Z AUTO 06007KT 10SM OVC085 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 01:54,-104.3407,37.2594,78.10,51.10,38.92,70.00,7.00,0.00,30.25,1016.10,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110154Z AUTO 07007KT 10SM OVC085 26/11 A3025 RMK AO2 SLP161 T02560106
TAD,2021-07-11 01:55,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.25,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110155Z AUTO 07005KT 10SM OVC085 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 02:00,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.25,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110200Z AUTO 07005KT 10SM OVC090 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 02:05,-104.3407,37.2594,M,M,M,70.00,7.00,M,30.25,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110205Z AUTO 07007KT 10SM OVC085 26/11 A3025 RMK T02600110 MADISHF
TAD,2021-07-11 02:10,-104.3407,37.2594,M,M,M,70.00,8.00,M,30.26,M,10.00,M,BKN,OVC,M,M,8500.00,10000.00,M,M,M,M,M,M,M,M,M,M,KTAD 110210Z AUTO 07008KT 10SM BKN085 OVC100 26/11 A3026 RMK T02600110 MADISHF
TAD,2021-07-11 02:15,-104.3407,37.2594,M,M,M,60.00,9.00,M,30.26,M,10.00,M,BKN,OVC,M,M,9000.00,10000.00,M,M,M,M,M,M,M,M,M,M,KTAD 110215Z AUTO 06009KT 10SM BKN090 OVC100 25/11 A3026 RMK T02500110 MADISHF
TAD,2021-07-11 02:20,-104.3407,37.2594,M,M,M,70.00,8.00,M,30.25,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110220Z AUTO 07008KT 10SM BKN090 25/10 A3025 RMK T02500100 MADISHF
TAD,2021-07-11 02:25,-104.3407,37.2594,M,M,M,70.00,7.00,M,30.26,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110225Z AUTO 07007KT 10SM BKN090 24/10 A3026 RMK T02400100 MADISHF
TAD,2021-07-11 02:30,-104.3407,37.2594,M,M,M,60.00,8.00,M,30.26,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110230Z AUTO 06008KT 10SM BKN090 24/10 A3026 RMK T02400100 MADISHF
TAD,2021-07-11 02:35,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.26,M,10.00,M,BKN,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110235Z AUTO 07005KT 10SM BKN085 24/10 A3026 RMK T02400100 MADISHF
TAD,2021-07-11 02:40,-104.3407,37.2594,M,M,M,70.00,7.00,M,30.26,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110240Z AUTO 07007KT 10SM OVC085 24/10 A3026 RMK T02400100 MADISHF
TAD,2021-07-11 02:45,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.26,M,10.00,M,BKN,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110245Z AUTO 07005KT 10SM BKN079 24/10 A3026 RMK T02400100 MADISHF
TAD,2021-07-11 02:50,-104.3407,37.2594,M,M,M,70.00,5.00,M,30.26,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110250Z AUTO 07005KT 10SM OVC079 24/11 A3026 RMK T02400110 MADISHF
TAD,2021-07-11 02:54,-104.3407,37.2594,75.00,51.10,43.14,60.00,7.00,0.00,30.26,1016.50,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KTAD 110254Z AUTO 06007KT 10SM OVC080 24/11 A3026 RMK AO2 SLP165 T02390106 53007
