#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
TEX,2021-07-11 00:15,-107.9085,37.9538,78.80,17.60,9.98,360.00,3.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110015Z AUTO 36003KT 10SM CLR 26/M08 A3047 RMK AO2
TEX,2021-07-11 00:35,-107.9085,37.9538,78.80,14.00,8.53,0.00,0.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110035Z AUTO 00000KT 10SM CLR 26/M10 A3047 RMK AO2
TEX,2021-07-11 00:55,-107.9085,37.9538,78.80,12.20,7.88,0.00,0.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110055Z AUTO 00000KT 10SM CLR 26/M11 A3047 RMK AO2
TEX,2021-07-11 01:15,-107.9085,37.9538,77.00,8.60,7.12,0.00,0.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110115Z AUTO 00000KT 10SM CLR 25/M13 A3047 RMK AO2
TEX,2021-07-11 01:35,-107.9085,37.9538,75.20,12.20,8.88,0.00,0.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110135Z AUTO 00000KT 10SM CLR 24/M11 A3047 RMK AO2
TEX,2021-07-11 01:55,-107.9085,37.9538,73.40,12.20,9.43,30.00,3.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110155Z AUTO 03003KT 10SM CLR 23/M11 A3047 RMK AO2
TEX,2021-07-11 02:15,-107.9085,37.9538,73.40,14.00,10.21,20.00,3.00,0.00,30.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110215Z AUTO 02003KT 10SM CLR 23/M10 A3048 RMK AO2
TEX,2021-07-11 02:35,-107.9085,37.9538,73.40,15.80,11.05,0.00,0.00,0.00,30.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110235Z AUTO 00000KT 10SM CLR 23/M09 A3048 RMK AO2
TEX,2021-07-11 02:55,-107.9085,37.9538,73.40,14.00,10.21,20.00,5.00,0.00,30.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110255Z AUTO 02005KT 10SM CLR 23/M10 A3048 RMK AO2
TEX,2021-07-11 03:15,-107.9085,37.9538,71.60,15.80,11.74,360.00,4.00,0.00,30.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110315Z AUTO 36004KT 10SM CLR 22/M09 A3048 RMK AO2
TEX,2021-07-11 03:35,-107.9085,37.9538,71.60,14.00,10.85,0.00,0.00,0.00,30.49,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTEX 110335Z AUTO 00000KT 10SM CLR 22/M10 A3049 RMK AO2
