#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
TNU,2021-07-11 00:15,-93.0190,41.6701,68.00,66.20,93.97,60.00,11.00,0.00,29.92,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110015Z AUTO 06011KT 10SM OVC015 20/19 A2992 RMK A01
TNU,2021-07-11 00:35,-93.0190,41.6701,68.00,68.00,100.00,60.00,8.00,0.00,29.92,M,3.00,M,OVC,M,M,M,1700.00,M,M,M,BR,M,M,M,M,M,M,M,KTNU 110035Z AUTO 06008KT 3SM BR OVC017 20/20 A2992 RMK A01
TNU,2021-07-11 00:55,-93.0190,41.6701,66.20,66.20,100.00,60.00,8.00,0.03,29.91,M,2.50,M,BKN,M,M,M,1600.00,M,M,M,BR,M,M,M,M,M,M,M,KTNU 110055Z AUTO 06008KT 2 1/2SM BR BKN016 19/19 A2991 RMK A01 P0003
TNU,2021-07-11 01:15,-93.0190,41.6701,66.20,66.20,100.00,60.00,11.00,0.00,29.89,M,8.00,M,BKN,BKN,M,M,1700.00,2300.00,M,M,M,M,M,M,M,M,M,M,KTNU 110115Z AUTO 06011KT 8SM BKN017 BKN023 19/19 A2989 RMK A01
TNU,2021-07-11 01:35,-93.0190,41.6701,66.20,66.20,100.00,70.00,12.00,0.00,29.90,M,8.00,17.00,BKN,OVC,M,M,1800.00,2300.00,M,M,M,M,M,M,M,M,M,M,KTNU 110135Z AUTO 07012G17KT 8SM BKN018 OVC023 19/19 A2990 RMK A01
TNU,2021-07-11 01:55,-93.0190,41.6701,66.20,66.20,100.00,60.00,12.00,0.01,29.89,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110155Z AUTO 06012KT 10SM OVC021 19/19 A2989 RMK A01 P0001
TNU,2021-07-11 02:15,-93.0190,41.6701,66.20,66.20,100.00,70.00,9.00,0.00,29.89,M,10.00,M,BKN,OVC,M,M,2200.00,2700.00,M,M,M,M,M,M,M,M,M,M,KTNU 110215Z AUTO 07009KT 10SM BKN022 OVC027 19/19 A2989 RMK A01
TNU,2021-07-11 02:35,-93.0190,41.6701,66.20,66.20,100.00,70.00,8.00,0.00,29.90,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110235Z AUTO 07008KT 10SM OVC030 19/19 A2990 RMK A01
TNU,2021-07-11 02:55,-93.0190,41.6701,66.20,66.20,100.00,70.00,9.00,0.00,29.91,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTNU 110255Z AUTO 07009KT 19/19 A2991 RMK A01
TNU,2021-07-11 03:15,-93.0190,41.6701,66.20,66.20,100.00,60.00,7.00,0.00,29.91,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110315Z AUTO 06007KT 10SM OVC110 19/19 A2991 RMK A01
TNU,2021-07-11 03:35,-93.0190,41.6701,66.20,66.20,100.00,60.00,6.00,0.00,29.92,M,10.00,M,SCT,OVC,M,M,3000.00,11000.00,M,M,M,M,M,M,M,M,M,M,KTNU 110335Z AUTO 06006KT 10SM SCT030 OVC110 19/19 A2992 RMK A01
TNU,2021-07-11 03:55,-93.0190,41.6701,66.20,66.20,100.00,50.00,8.00,0.00,29.91,M,10.00,M,FEW,SCT,BKN,M,3000.00,9500.00,12000.00,M,M,M,M,M,M,M,M,M,KTNU 110355Z AUTO 05008KT 10SM FEW030 SCT095 BKN120 19/19 A2991 RMK A01
TNU,2021-07-11 04:15,-93.0190,41.6701,66.20,66.20,100.00,40.00,7.00,0.00,29.91,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110415Z AUTO 04007KT 10SM FEW120 19/19 A2991 RMK A01
TNU,2021-07-11 04:35,-93.0190,41.6701,66.20,66.20,100.00,50.00,6.00,0.00,29.92,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110435Z AUTO 05006KT 10SM FEW120 19/19 A2992 RMK A01
TNU,2021-07-11 04:55,-93.0190,41.6701,66.20,66.20,100.00,40.00,8.00,0.00,29.92,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110455Z AUTO 04008KT 10SM BKN120 19/19 A2992 RMK A01
TNU,2021-07-11 05:15,-93.0190,41.6701,66.20,66.20,100.00,30.00,7.00,0.00,29.92,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110515Z AUTO 03007KT 10SM BKN120 19/19 A2992 RMK A01
TNU,2021-07-11 05:35,-93.0190,41.6701,66.20,66.20,100.00,30.00,6.00,0.00,29.92,M,10.00,11.00,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110535Z AUTO 03006G11KT 10SM BKN120 19/19 A2992 RMK A01
TNU,2021-07-11 05:55,-93.0190,41.6701,66.20,64.40,93.92,50.00,8.00,0.00,29.91,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110555Z AUTO 05008KT 10SM FEW120 19/18 A2991 RMK A01
TNU,2021-07-11 06:15,-93.0190,41.6701,66.20,64.40,93.92,30.00,7.00,0.00,29.91,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110615Z AUTO 03007KT 10SM BKN120 19/18 A2991 RMK A01
TNU,2021-07-11 06:35,-93.0190,41.6701,66.20,64.40,93.92,40.00,8.00,0.00,29.91,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110635Z AUTO 04008KT 10SM OVC120 19/18 A2991 RMK A01
TNU,2021-07-11 06:55,-93.0190,41.6701,66.20,64.40,93.92,30.00,8.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,5500.00,12000.00,M,M,M,M,M,M,M,M,M,M,KTNU 110655Z AUTO 03008KT 10SM BKN055 OVC120 19/18 A2991 RMK A01
TNU,2021-07-11 07:15,-93.0190,41.6701,66.20,64.40,93.92,40.00,10.00,0.00,29.91,M,10.00,M,SCT,OVC,M,M,5500.00,12000.00,M,M,M,M,M,M,M,M,M,M,KTNU 110715Z AUTO 04010KT 10SM SCT055 OVC120 19/18 A2991 RMK A01
TNU,2021-07-11 07:35,-93.0190,41.6701,66.20,64.40,93.92,40.00,8.00,0.00,29.91,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110735Z AUTO 04008KT 10SM SCT120 19/18 A2991 RMK A01
TNU,2021-07-11 07:55,-93.0190,41.6701,64.40,64.40,100.00,40.00,8.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTNU 110755Z AUTO 04008KT 10SM CLR 18/18 A2991 RMK A01
TNU,2021-07-11 08:15,-93.0190,41.6701,64.40,64.40,100.00,30.00,8.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTNU 110815Z AUTO 03008KT 10SM CLR 18/18 A2991 RMK A01
TNU,2021-07-11 08:35,-93.0190,41.6701,64.40,62.60,93.88,20.00,9.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTNU 110835Z AUTO 02009KT 10SM CLR 18/17 A2991 RMK A01
TNU,2021-07-11 08:55,-93.0190,41.6701,62.60,62.60,100.00,30.00,9.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTNU 110855Z AUTO 03009KT 10SM CLR 17/17 A2991 RMK A01
TNU,2021-07-11 09:15,-93.0190,41.6701,62.60,62.60,100.00,20.00,12.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTNU 110915Z AUTO 02012KT 10SM CLR 17/17 A2990 RMK A01
TNU,2021-07-11 09:35,-93.0190,41.6701,62.60,62.60,100.00,20.00,10.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KTNU 110935Z AUTO 02010KT 10SM CLR 17/17 A2991 RMK A01
TNU,2021-07-11 09:55,-93.0190,41.6701,62.60,62.60,100.00,10.00,10.00,0.00,29.91,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KTNU 110955Z AUTO 01010KT 10SM FEW050 17/17 A2991 RMK A01
