#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
UUU,2021-07-11 00:05,-71.2815,41.5324,M,M,M,70.00,7.00,M,30.02,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KUUU 110005Z AUTO 07007KT 10SM BKN060 19/16 A3002 RMK T01900160 MADISHF
UUU,2021-07-11 00:10,-71.2815,41.5324,M,M,M,70.00,5.00,M,30.02,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KUUU 110010Z AUTO 07005KT 10SM BKN060 19/16 A3002 RMK T01900160 MADISHF
UUU,2021-07-11 00:15,-71.2815,41.5324,M,M,M,70.00,5.00,M,30.02,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KUUU 110015Z AUTO 07005KT 10SM BKN060 19/16 A3002 RMK T01900160 MADISHF
UUU,2021-07-11 00:25,-71.2815,41.5324,M,M,M,70.00,5.00,M,30.02,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KUUU 110025Z AUTO 07005KT 10SM BKN060 19/16 A3002 RMK T01900160 MADISHF
UUU,2021-07-11 00:35,-71.2815,41.5324,M,M,M,60.00,5.00,M,30.02,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KUUU 110035Z AUTO 06005KT 10SM FEW065 19/16 A3002 RMK T01900160 MADISHF
UUU,2021-07-11 00:40,-71.2815,41.5324,M,M,M,50.00,4.00,M,30.02,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KUUU 110040Z AUTO 05004KT 10SM FEW065 19/16 A3002 RMK T01900160 MADISHF
UUU,2021-07-11 00:45,-71.2815,41.5324,M,M,M,40.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110045Z AUTO 04004KT 10SM CLR 19/16 A3003 RMK T01900160 MADISHF
UUU,2021-07-11 00:50,-71.2815,41.5324,M,M,M,10.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110050Z AUTO 01004KT 10SM CLR 19/16 A3003 RMK T01900160 MADISHF
UUU,2021-07-11 00:53,-71.2815,41.5324,66.00,60.10,81.27,360.00,4.00,0.00,30.03,1016.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110053Z AUTO 36004KT 10SM CLR 19/16 A3003 RMK AO2 SLP167 T01890156
UUU,2021-07-11 00:55,-71.2815,41.5324,M,M,M,340.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110055Z AUTO 34004KT 10SM CLR 19/16 A3003 RMK T01900160 MADISHF
UUU,2021-07-11 01:00,-71.2815,41.5324,M,M,M,310.00,2.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110100Z AUTO 31002KT 10SM CLR 18/16 A3003 RMK T01800160 MADISHF
UUU,2021-07-11 01:05,-71.2815,41.5324,M,M,M,320.00,4.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110105Z AUTO 32004KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:10,-71.2815,41.5324,M,M,M,320.00,4.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110110Z AUTO 32004KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:15,-71.2815,41.5324,M,M,M,340.00,2.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110115Z AUTO 34002KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:20,-71.2815,41.5324,M,M,M,350.00,2.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110120Z AUTO 35002KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:25,-71.2815,41.5324,M,M,M,340.00,2.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110125Z AUTO 34002KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:30,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110130Z AUTO 00000KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:35,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110135Z AUTO 00000KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:40,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110140Z AUTO 00000KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:45,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110145Z AUTO 00000KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 01:50,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110150Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 01:53,-71.2815,41.5324,64.00,61.00,89.97,0.00,0.00,0.00,30.05,1017.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110153Z AUTO 00000KT 10SM CLR 18/16 A3005 RMK AO2 SLP173 T01780161
UUU,2021-07-11 01:55,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110155Z AUTO 00000KT 10SM CLR 18/16 A3004 RMK T01800160 MADISHF
UUU,2021-07-11 02:00,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110200Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:05,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110205Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:10,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110210Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:20,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110220Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:25,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110225Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:30,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110230Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:35,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110235Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:40,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110240Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:45,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110245Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:50,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110250Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 02:53,-71.2815,41.5324,62.10,60.10,93.16,0.00,0.00,0.00,30.05,1017.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110253Z AUTO 00000KT 10SM CLR 17/16 A3005 RMK AO2 SLP175 T01670156 51012
UUU,2021-07-11 02:55,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110255Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 03:00,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110300Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 03:05,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110305Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 03:10,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110310Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 03:15,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110315Z AUTO 00000KT 10SM CLR 17/16 A3004 RMK T01700160 MADISHF
UUU,2021-07-11 03:20,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110320Z AUTO 00000KT 10SM CLR 16/16 A3004 RMK T01600160 MADISHF
UUU,2021-07-11 03:25,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110325Z AUTO 00000KT 10SM CLR 17/15 A3004 RMK T01700150 MADISHF
UUU,2021-07-11 03:30,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110330Z AUTO 00000KT 10SM CLR 16/15 A3004 RMK T01600150 MADISHF
UUU,2021-07-11 03:40,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110340Z AUTO 00000KT 10SM CLR 16/16 A3004 RMK T01600160 MADISHF
UUU,2021-07-11 03:45,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110345Z AUTO 00000KT 10SM CLR 16/15 A3004 RMK T01600150 MADISHF
UUU,2021-07-11 03:53,-71.2815,41.5324,61.00,60.10,96.85,0.00,0.00,0.00,30.05,1017.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110353Z AUTO 00000KT 10SM CLR 16/16 A3005 RMK AO2 SLP175 T01610156
UUU,2021-07-11 03:55,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110355Z AUTO 00000KT 10SM CLR 16/16 A3004 RMK T01600160 MADISHF
UUU,2021-07-11 04:00,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110400Z AUTO 00000KT 10SM CLR 16/15 A3004 RMK T01600150 MADISHF
UUU,2021-07-11 04:10,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110410Z AUTO 00000KT 8SM CLR 16/15 A3004 RMK T01600150 MADISHF
UUU,2021-07-11 04:20,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110420Z AUTO 00000KT 9SM CLR 16/15 A3004 RMK T01600150 MADISHF
UUU,2021-07-11 04:25,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110425Z AUTO 00000KT 9SM CLR 16/15 A3004 RMK T01600150 MADISHF
UUU,2021-07-11 04:30,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.05,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110430Z AUTO 00000KT 8SM CLR 16/16 A3004 RMK T01600160 MADISHF
UUU,2021-07-11 04:35,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.06,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110435Z AUTO 00000KT 8SM CLR 16/16 A3005 RMK T01600160 MADISHF
UUU,2021-07-11 04:40,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110440Z AUTO 00000KT 10SM CLR 16/15 A3005 RMK T01600150 MADISHF
UUU,2021-07-11 04:45,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.06,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110445Z AUTO 00000KT 9SM CLR 16/15 A3005 RMK T01600150 MADISHF
UUU,2021-07-11 04:50,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.06,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110450Z AUTO 00000KT 9SM CLR 16/15 A3005 RMK T01600150 MADISHF
UUU,2021-07-11 04:53,-71.2815,41.5324,60.10,59.00,96.15,0.00,0.00,0.00,30.07,1017.90,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110453Z AUTO 00000KT 9SM CLR 16/15 A3007 RMK AO2 SLP179 T01560150 402500156
UUU,2021-07-11 04:55,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110455Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:00,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110500Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:05,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110505Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:10,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110510Z AUTO 00000KT 9SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:15,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110515Z AUTO 00000KT 9SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:20,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110520Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:25,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110525Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:30,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110530Z AUTO 00000KT 9SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:35,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.08,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110535Z AUTO 00000KT 8SM CLR 16/15 A3007 RMK T01600150 MADISHF
UUU,2021-07-11 05:40,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.08,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110540Z AUTO 00000KT 9SM CLR 16/15 A3007 RMK T01600150 MADISHF
UUU,2021-07-11 05:45,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110545Z AUTO 00000KT 9SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:50,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110550Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 05:53,-71.2815,41.5324,60.10,57.90,92.43,0.00,0.00,0.00,30.07,1018.00,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110553Z AUTO 00000KT 7SM CLR 16/14 A3007 RMK AO2 SLP180 T01560144 10200 20156 53006
UUU,2021-07-11 05:55,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110555Z AUTO 00000KT 7SM CLR 16/14 A3006 RMK T01600140 MADISHF
UUU,2021-07-11 06:00,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110600Z AUTO 00000KT 7SM CLR 16/14 A3006 RMK T01600140 MADISHF
UUU,2021-07-11 06:05,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110605Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 06:10,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110610Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 06:15,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110615Z AUTO 00000KT 8SM CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 06:20,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,6.00,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KUUU 110620Z AUTO 00000KT 6SM BR CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 06:25,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,5.00,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KUUU 110625Z AUTO 00000KT 5SM BR CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 06:28,-71.2815,41.5324,60.10,57.90,92.43,0.00,0.00,0.00,30.07,M,1.75,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KUUU 110628Z AUTO 00000KT 1 3/4SM BR CLR 16/14 A3007 RMK AO2 T01560144
UUU,2021-07-11 06:30,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,1.50,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KUUU 110630Z AUTO 00000KT 1 1/2SM BR CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 06:35,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,1.25,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KUUU 110635Z AUTO 00000KT 1 1/2SM BR CLR 16/15 A3006 RMK T01600150 MADISHF
UUU,2021-07-11 06:39,-71.2815,41.5324,60.10,57.90,92.43,0.00,0.00,0.00,30.07,M,4.00,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KUUU 110639Z AUTO 00000KT 4SM BR CLR 16/14 A3007 RMK AO2 T01560144
UUU,2021-07-11 06:40,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,5.00,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KUUU 110640Z AUTO 00000KT 5SM BR CLR 16/14 A3006 RMK T01600140 MADISHF
UUU,2021-07-11 06:45,-71.2815,41.5324,M,M,M,0.00,0.00,M,30.07,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KUUU 110645Z AUTO 00000KT 9SM CLR 15/14 A3006 RMK T01500140 MADISHF
