#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
VTI,2021-07-11 00:15,-92.0248,42.2176,72.50,63.50,73.35,60.00,6.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KVTI 110015Z AUTO 06006KT 10SM CLR 23/18 A2992 RMK AO2 T02250175
VTI,2021-07-11 00:35,-92.0248,42.2176,70.90,62.80,75.56,50.00,3.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KVTI 110035Z AUTO 05003KT 10SM CLR 22/17 A2993 RMK AO2 T02160171
VTI,2021-07-11 00:55,-92.0248,42.2176,70.90,63.50,77.44,20.00,3.00,0.00,29.93,M,10.00,M,BKN,BKN,M,M,4900.00,12000.00,M,M,M,M,M,M,M,M,M,M,KVTI 110055Z AUTO 02003KT 10SM BKN049 BKN120 22/18 A2993 RMK AO2 T02160175
VTI,2021-07-11 01:15,-92.0248,42.2176,70.90,65.10,81.90,360.00,3.00,0.00,29.92,M,10.00,M,SCT,BKN,M,M,4900.00,12000.00,M,M,-RA,M,M,M,M,M,M,M,KVTI 110115Z AUTO 36003KT 10SM -RA SCT049 BKN120 22/18 A2992 RMK AO2 T02160184
VTI,2021-07-11 01:35,-92.0248,42.2176,70.90,68.90,93.40,350.00,3.00,0.00,29.93,M,10.00,M,SCT,SCT,BKN,M,4100.00,4800.00,12000.00,M,M,M,M,M,M,M,M,M,KVTI 110135Z AUTO 35003KT 10SM SCT041 SCT048 BKN120 22/21 A2993 RMK AO2 T02160205
VTI,2021-07-11 01:55,-92.0248,42.2176,70.90,68.50,92.12,10.00,3.00,0.00,29.92,M,10.00,M,BKN,OVC,M,M,4300.00,5000.00,M,M,M,M,M,M,M,M,M,M,KVTI 110155Z AUTO 01003KT 10SM BKN043 OVC050 22/20 A2992 RMK AO2 T02160203
VTI,2021-07-11 02:15,-92.0248,42.2176,70.90,67.50,89.01,10.00,4.00,0.00,29.92,M,10.00,M,OVC,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110215Z AUTO 01004KT 10SM OVC046 22/20 A2992 RMK AO2 T02160197
VTI,2021-07-11 02:35,-92.0248,42.2176,70.90,67.50,89.01,20.00,4.00,0.00,29.93,M,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110235Z AUTO 02004KT 10SM OVC048 22/20 A2993 RMK AO2 T02160197
VTI,2021-07-11 02:55,-92.0248,42.2176,70.90,68.00,90.55,30.00,4.00,0.00,29.94,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110255Z AUTO 03004KT 10SM OVC050 22/20 A2994 RMK AO2 T02160200
VTI,2021-07-11 03:15,-92.0248,42.2176,70.90,67.10,87.79,30.00,5.00,0.00,29.95,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110315Z AUTO 03005KT 10SM OVC050 22/20 A2995 RMK AO2 T02160195
VTI,2021-07-11 03:35,-92.0248,42.2176,70.90,66.00,84.50,30.00,6.00,0.00,29.94,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110335Z AUTO 03006KT 10SM OVC050 22/19 A2994 RMK AO2 T02160189
VTI,2021-07-11 03:55,-92.0248,42.2176,70.90,65.50,83.05,30.00,7.00,0.00,29.95,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110355Z AUTO 03007KT 10SM OVC050 22/19 A2995 RMK AO2 T02160186
VTI,2021-07-11 04:15,-92.0248,42.2176,68.50,63.50,84.06,50.00,5.00,0.00,29.95,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110415Z AUTO 05005KT 10SM SCT050 20/18 A2995 RMK AO2 T02030175
VTI,2021-07-11 04:35,-92.0248,42.2176,65.80,64.40,95.24,30.00,6.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KVTI 110435Z AUTO 03006KT 10SM CLR 19/18 A2995 RMK AO2 T01880180
VTI,2021-07-11 04:55,-92.0248,42.2176,65.80,65.10,97.59,30.00,8.00,0.00,29.95,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110455Z AUTO 03008KT 10SM SCT050 19/18 A2995 RMK AO2 T01880184
VTI,2021-07-11 05:15,-92.0248,42.2176,65.80,64.60,95.91,50.00,8.00,0.00,29.95,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110515Z AUTO 05008KT 10SM SCT050 19/18 A2995 RMK AO2 T01880181
VTI,2021-07-11 05:35,-92.0248,42.2176,65.80,63.70,92.93,40.00,7.00,0.00,29.95,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KVTI 110535Z AUTO 04007KT 10SM SCT050 19/18 A2995 RMK AO2 T01880176
