#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
VTP,2021-07-11 00:15,-105.1668,37.5007,60.80,50.00,67.54,100.00,12.00,0.00,30.56,M,10.00,16.00,SCT,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110015Z AUTO 10012G16KT 10SM SCT021 16/10 A3056 RMK AO2
VTP,2021-07-11 00:35,-105.1668,37.5007,59.00,50.00,72.01,90.00,11.00,0.00,30.56,M,10.00,17.00,SCT,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110035Z AUTO 09011G17KT 10SM SCT021 15/10 A3056 RMK AO2
VTP,2021-07-11 00:55,-105.1668,37.5007,59.00,48.20,67.33,100.00,7.00,0.00,30.55,M,10.00,15.00,SCT,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110055Z AUTO 10007G15KT 10SM SCT019 15/09 A3055 RMK AO2
VTP,2021-07-11 01:15,-105.1668,37.5007,55.40,48.20,76.66,90.00,9.00,0.00,30.56,M,10.00,17.00,BKN,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110115Z AUTO 09009G17KT 030V110 10SM BKN021 13/09 A3056 RMK AO2
VTP,2021-07-11 01:35,-105.1668,37.5007,57.20,48.20,71.83,100.00,9.00,0.00,30.56,M,10.00,16.00,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110135Z AUTO 10009G16KT 10SM OVC021 14/09 A3056 RMK AO2
VTP,2021-07-11 01:55,-105.1668,37.5007,55.40,48.20,76.66,90.00,10.00,0.00,30.57,M,10.00,15.00,BKN,BKN,M,M,2100.00,2600.00,M,M,M,M,M,M,M,M,M,M,KVTP 110155Z AUTO 09010G15KT 10SM BKN021 BKN026 13/09 A3057 RMK AO2
VTP,2021-07-11 02:15,-105.1668,37.5007,55.40,48.20,76.66,100.00,8.00,0.00,30.57,M,10.00,15.00,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110215Z AUTO 10008G15KT 10SM OVC021 13/09 A3057 RMK AO2
VTP,2021-07-11 02:35,-105.1668,37.5007,55.40,48.20,76.66,100.00,10.00,0.00,30.57,M,10.00,17.00,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110235Z AUTO 10010G17KT 10SM OVC023 13/09 A3057 RMK AO2
VTP,2021-07-11 02:55,-105.1668,37.5007,53.60,48.20,81.87,100.00,10.00,0.00,30.58,M,10.00,17.00,BKN,BKN,M,M,2300.00,3000.00,M,M,M,M,M,M,M,M,M,M,KVTP 110255Z AUTO 10010G17KT 10SM BKN023 BKN030 12/09 A3058 RMK AO2
VTP,2021-07-11 03:15,-105.1668,37.5007,53.60,46.40,76.50,100.00,10.00,0.00,30.59,M,10.00,M,SCT,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110315Z AUTO 10010KT 10SM SCT028 12/08 A3059 RMK AO2
VTP,2021-07-11 03:35,-105.1668,37.5007,53.60,46.40,76.50,100.00,9.00,0.00,30.59,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KVTP 110335Z AUTO 10009G14KT 10SM CLR 12/08 A3059 RMK AO2
VTP,2021-07-11 03:55,-105.1668,37.5007,53.60,46.40,76.50,100.00,10.00,0.00,30.59,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KVTP 110355Z AUTO 10010G15KT 10SM CLR 12/08 A3059 RMK AO2
VTP,2021-07-11 04:15,-105.1668,37.5007,51.80,46.40,81.74,90.00,9.00,0.00,30.59,M,10.00,16.00,BKN,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110415Z AUTO 09009G16KT 10SM BKN025 11/08 A3059 RMK AO2
VTP,2021-07-11 04:35,-105.1668,37.5007,51.80,46.40,81.74,90.00,10.00,0.00,30.60,M,10.00,16.00,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,M,KVTP 110435Z AUTO 09010G16KT 10SM OVC027 11/08 A3060 RMK AO2
