#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
WST,2021-07-11 00:00,-71.7989,41.3497,66.90,66.00,96.93,0.00,0.00,0.00,30.02,M,10.00,M,BKN,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110000Z AUTO 00000KT 10SM BKN019 19/19 A3002 RMK AO2 T01940189
WST,2021-07-11 00:05,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.02,M,10.00,M,BKN,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110005Z AUTO 00000KT 10SM BKN019 19/19 A3002 RMK T01900190 MADISHF
WST,2021-07-11 00:10,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.02,M,10.00,M,BKN,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110010Z AUTO 00000KT 10SM BKN019 19/19 A3002 RMK T01900190 MADISHF
WST,2021-07-11 00:15,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.02,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110015Z AUTO 00000KT 10SM OVC019 19/19 A3002 RMK T01900190 MADISHF
WST,2021-07-11 00:25,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.03,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110025Z AUTO 00000KT 10SM OVC019 19/19 A3003 RMK T01900190 MADISHF
WST,2021-07-11 00:35,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.03,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110035Z AUTO 00000KT 10SM OVC019 20/19 A3003 RMK T02000190 MADISHF
WST,2021-07-11 00:40,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.04,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110040Z AUTO 00000KT 10SM OVC021 20/19 A3004 RMK T02000190 MADISHF
WST,2021-07-11 00:45,-71.7989,41.3497,M,M,M,30.00,2.00,M,30.04,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110045Z AUTO 03002KT 10SM OVC021 20/19 A3004 RMK T02000190 MADISHF
WST,2021-07-11 00:50,-71.7989,41.3497,M,M,M,40.00,2.00,M,30.04,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110050Z AUTO 04002KT 10SM OVC021 20/18 A3004 RMK T02000180 MADISHF
WST,2021-07-11 00:53,-71.7989,41.3497,68.00,64.90,89.81,30.00,3.00,0.00,30.04,1017.10,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110053Z AUTO 03003KT 10SM OVC021 20/18 A3004 RMK AO2 SLP171 T02000183
WST,2021-07-11 00:55,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.04,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110055Z AUTO 00000KT 10SM OVC021 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:00,-71.7989,41.3497,M,M,M,50.00,2.00,M,30.04,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110100Z AUTO 05002KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:05,-71.7989,41.3497,M,M,M,40.00,4.00,M,30.04,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110105Z AUTO 04004KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:10,-71.7989,41.3497,M,M,M,40.00,2.00,M,30.04,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110110Z AUTO 04002KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:15,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110115Z AUTO 00000KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:20,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110120Z AUTO 00000KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:25,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110125Z AUTO 00000KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:30,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110130Z AUTO 00000KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:35,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110135Z AUTO 00000KT 10SM OVC023 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:40,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110140Z AUTO 00000KT 10SM OVC022 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:45,-71.7989,41.3497,M,M,M,70.00,2.00,M,30.05,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110145Z AUTO 07002KT 10SM OVC022 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:50,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,BKN,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110150Z AUTO 00000KT 10SM BKN022 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 01:53,-71.7989,41.3497,66.00,64.90,96.24,0.00,0.00,0.00,30.05,1017.50,10.00,M,BKN,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110153Z AUTO 00000KT 10SM BKN022 19/18 A3005 RMK AO2 SLP175 T01890183
WST,2021-07-11 01:55,-71.7989,41.3497,M,M,M,0.00,0.00,M,30.05,M,10.00,M,BKN,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110155Z AUTO 00000KT 10SM BKN022 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 02:00,-71.7989,41.3497,M,M,M,50.00,2.00,M,30.05,M,10.00,M,SCT,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110200Z AUTO 05002KT 10SM SCT022 19/18 A3004 RMK T01900180 MADISHF
WST,2021-07-11 02:02,-71.7989,41.3497,64.90,64.00,96.90,60.00,3.00,0.00,30.05,M,10.00,M,SCT,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110202Z AUTO 06003KT 10SM SCT022 18/18 A3005 RMK AO2 T01830178
WST,2021-07-11 02:05,-71.7989,41.3497,M,M,M,60.00,2.00,M,30.05,M,10.00,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110205Z AUTO 06002KT 10SM FEW022 18/18 A3004 RMK T01800180 MADISHF
WST,2021-07-11 02:10,-71.7989,41.3497,M,M,M,50.00,2.00,M,30.05,M,10.00,M,FEW,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KWST 110210Z AUTO 05002KT 10SM FEW021 18/18 A3004 RMK T01800180 MADISHF
WST,2021-07-11 02:20,-71.7989,41.3497,M,M,M,50.00,4.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KWST 110220Z AUTO 05004KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
WST,2021-07-11 02:25,-71.7989,41.3497,M,M,M,40.00,2.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KWST 110225Z AUTO 04002KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
